cell_label,subclass,supertype,class,neurotransmitter,parcellation_structure,parcellation_substructure
1018093344100760248-1,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093344100760436,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,BLA,BLAp
1018093344100770248-4,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,BLA,BLAp
1018093344100770356-2,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093344100760460,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093344100770275-2,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093344100770230-4,014 LA-BLA-BMA-PA Glut,0063 LA-BLA-BMA-PA Glut_4,01 IT-ET Glut,Glut,BLA,BLAp
1018093344200770169-2,014 LA-BLA-BMA-PA Glut,0063 LA-BLA-BMA-PA Glut_4,01 IT-ET Glut,Glut,BLA,BLAp
1018093344100770175-4,014 LA-BLA-BMA-PA Glut,0063 LA-BLA-BMA-PA Glut_4,01 IT-ET Glut,Glut,BLA,BLAp
1018093344100770215-3,014 LA-BLA-BMA-PA Glut,0063 LA-BLA-BMA-PA Glut_4,01 IT-ET Glut,Glut,BLA,BLAp
1018093344100770149-1,014 LA-BLA-BMA-PA Glut,0063 LA-BLA-BMA-PA Glut_4,01 IT-ET Glut,Glut,BLA,BLAp
1018093344100770344-4,052 Pvalb Gaba,0209 Pvalb Gaba_5,07 CTX-MGE GABA,GABA,BLA,BLAp
1018093344100760378-1,052 Pvalb Gaba,0206 Pvalb Gaba_2,07 CTX-MGE GABA,GABA,BLA,BLAp
1018093344100770204-3,053 Sst Gaba,0216 Sst Gaba_3,07 CTX-MGE GABA,GABA,BLA,BLAp
1018093344100770148-1,053 Sst Gaba,0215 Sst Gaba_2,07 CTX-MGE GABA,GABA,BLA,BLAp
1018093344100760290-3,046 Vip Gaba,0175 Vip Gaba_3,06 CTX-CGE GABA,GABA,BLA,BLAp
1018093344100760494-1,046 Vip Gaba,0175 Vip Gaba_3,06 CTX-CGE GABA,GABA,BLA,BLAp
1018093344100760401,046 Vip Gaba,0175 Vip Gaba_3,06 CTX-CGE GABA,GABA,BLA,BLAp
1018093344100760238-1,046 Vip Gaba,0173 Vip Gaba_1,06 CTX-CGE GABA,GABA,BLA,BLAp
1018093344100770418-1,053 Sst Gaba,0215 Sst Gaba_2,07 CTX-MGE GABA,GABA,BLA,BLAp
1018093344100770250-3,053 Sst Gaba,0230 Sst Gaba_17,07 CTX-MGE GABA,GABA,BLA,BLAp
1018093344100760195,053 Sst Gaba,0215 Sst Gaba_2,07 CTX-MGE GABA,GABA,BLA,BLAp
1018093345100570173,334 Microglia NN,1194 Microglia NN_1,34 Immune,,BLA,BLAp
1018093345100570104,334 Microglia NN,1194 Microglia NN_1,34 Immune,,BLA,BLAp
1018093345102690165,334 Microglia NN,1194 Microglia NN_1,34 Immune,,BLA,BLAp
1018093345102520639,334 Microglia NN,1194 Microglia NN_1,34 Immune,,BLA,BLAp
1018093345102530598,334 Microglia NN,1194 Microglia NN_1,34 Immune,,BLA,BLAp
1018093345100570028,334 Microglia NN,1194 Microglia NN_1,34 Immune,,BLA,BLAp
1018093345102690356,334 Microglia NN,1194 Microglia NN_1,34 Immune,,BLA,BLAp
1018093345102680288,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345100410415,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345100410503,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345102530586,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345102680162,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345102530558,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345102690266,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345100570211,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,BLA,BLAp
1018093345100410543,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345100420483,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345100410384,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345100410382,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345102690074,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345102520707,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345102690209,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345102680339,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345102680351,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345100570191,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345200410456,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345100580142,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345102520719,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345102680071,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345102680321,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345202690148,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345102680183,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345100410562,319 Astro-TE NN,1164 Astro-TE NN_4,30 Astro-Epen,,BLA,BLAp
1018093345100570212,319 Astro-TE NN,1164 Astro-TE NN_4,30 Astro-Epen,,BLA,BLAp
1018093345100410437,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345102520709,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345102690251,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345102530578,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345100570258,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345102520743,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345102530527,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345102680193,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,BLA,BLAp
1018093345100570251,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
1018093345100570056,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,BLA,BLAp
