cell_label,subclass,supertype,class,neurotransmitter,parcellation_structure,parcellation_substructure
1018093345102830627,334 Microglia NN,1194 Microglia NN_1,34 Immune,,EPd,EPd
1018093345102840049,334 Microglia NN,1194 Microglia NN_1,34 Immune,,EPd,EPd
1018093345102840060,334 Microglia NN,1194 Microglia NN_1,34 Immune,,EPd,EPd
1018093345102830269,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1018093345102830214,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093345102830157,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1018093345102830449,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1018093345102830532,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093345102830509,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093345102840037,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093345102840095,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1018093345102830473,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,EPd,EPd
1018093345102830164,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093345102830495,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093345202830595,319 Astro-TE NN,1161 Astro-TE NN_1,30 Astro-Epen,,EPd,EPd
1018093345102990051,027 L6b EPd Glut,0105 L6b EPd Glut_3,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093345102830600,027 L6b EPd Glut,0105 L6b EPd Glut_3,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093345102990041,027 L6b EPd Glut,0105 L6b EPd Glut_3,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093345102990092,028 L6b/CT ENT Glut,0106 L6b/CT ENT Glut_1,02 NP-CT-L6b Glut,Glut,EPd,EPd
1018093345102830595,002 IT EP-CLA Glut,0003 IT EP-CLA Glut_1,01 IT-ET Glut,Glut,EPd,EPd
1018093345102830625,002 IT EP-CLA Glut,0003 IT EP-CLA Glut_1,01 IT-ET Glut,Glut,EPd,EPd
1018093345102990097,052 Pvalb Gaba,0208 Pvalb Gaba_4,07 CTX-MGE GABA,GABA,EPd,EPd
1018093345102830138,052 Pvalb Gaba,0206 Pvalb Gaba_2,07 CTX-MGE GABA,GABA,EPd,EPd
1018093345102830438,052 Pvalb Gaba,0206 Pvalb Gaba_2,07 CTX-MGE GABA,GABA,EPd,EPd
1018093345102830283,053 Sst Gaba,0216 Sst Gaba_3,07 CTX-MGE GABA,GABA,EPd,EPd
1018093345102830238,053 Sst Gaba,0216 Sst Gaba_3,07 CTX-MGE GABA,GABA,EPd,EPd
1018093345102830410,053 Sst Gaba,0216 Sst Gaba_3,07 CTX-MGE GABA,GABA,EPd,EPd
1018093345102680668,053 Sst Gaba,0216 Sst Gaba_3,07 CTX-MGE GABA,GABA,EPd,EPd
1018093345102680658,053 Sst Gaba,0216 Sst Gaba_3,07 CTX-MGE GABA,GABA,EPd,EPd
1018093345102830336,053 Sst Gaba,0216 Sst Gaba_3,07 CTX-MGE GABA,GABA,EPd,EPd
