region,gene,cell_type,consensus_rank,rank_10x,rank_merfish,rank_diff,confidence
TH,Htr1b,APN C1ql4 Glut,2.0,3,1,2,0.9047619047619048
TH,Htr1b,SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,2.0,2,2,0,1.0
TH,Htr1b,AV Col27a1 Glut,3.0,1,5,4,0.8095238095238095
TH,Htr1b,PVT-PT Ntrk1 Glut,4.5,5,4,1,0.9523809523809523
TH,Htr1b,RE-Xi Nox4 Glut,4.5,6,3,3,0.8571428571428572
TH,Htr1b,SMC NN,6.0,4,8,4,0.8095238095238095
TH,Htr1b,ZI Pax6 Gaba,7.0,8,6,2,0.9047619047619048
TH,Htr1b,PF Fzd5 Glut,8.0,9,7,2,0.9047619047619048
TH,Htr1b,LGv-ZI Otx2 Gaba,8.5,7,10,3,0.8571428571428572
TH,Htr1b,CM-IAD-CL-PCN Sema5b Glut,10.0,11,9,2,0.9047619047619048
TH,Htr1b,AD Serpinb7 Glut,11.0,10,12,2,0.9047619047619048
TH,Htr1b,TH Prkcd Grin2c Glut,11.5,12,11,1,0.9523809523809523
TH,Htr1b,Ependymal NN,13.5,14,13,1,0.9523809523809523
TH,Htr1b,RT-ZI Gnb3 Gaba,13.5,13,14,1,0.9523809523809523
TH,Htr1b,Astro-NT NN,16.5,15,18,3,0.8571428571428572
TH,Htr1b,VLMC NN,17.0,19,15,4,0.8095238095238095
TH,Htr1b,OPC NN,17.5,18,17,1,0.9523809523809523
TH,Htr1b,Oligo NN,18.0,17,19,2,0.9047619047619048
TH,Htr1b,Peri NN,18.0,16,20,4,0.8095238095238095
TH,Htr1b,Astroependymal NN,19.0,22,16,6,0.7142857142857143
TH,Htr1b,Microglia NN,21.0,20,22,2,0.9047619047619048
TH,Htr1b,Endo NN,21.0,21,21,0,1.0
TH,Htr1d,PVT-PT Ntrk1 Glut,1.5,1,2,1,0.9523809523809523
TH,Htr1d,APN C1ql4 Glut,2.0,3,1,2,0.9047619047619048
TH,Htr1d,SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,2.5,2,3,1,0.9523809523809523
TH,Htr1d,CM-IAD-CL-PCN Sema5b Glut,5.5,5,6,1,0.9523809523809523
TH,Htr1d,RT-ZI Gnb3 Gaba,6.0,7,5,2,0.9047619047619048
TH,Htr1d,RE-Xi Nox4 Glut,6.0,8,4,4,0.8095238095238095
TH,Htr1d,ZI Pax6 Gaba,6.5,6,7,1,0.9523809523809523
TH,Htr1d,PF Fzd5 Glut,8.5,9,8,1,0.9523809523809523
TH,Htr1d,TH Prkcd Grin2c Glut,9.5,10,9,1,0.9523809523809523
TH,Htr1d,Astroependymal NN,11.0,11,11,0,1.0
TH,Htr1d,VLMC NN,11.0,4,18,14,0.33333333333333337
TH,Htr1d,AD Serpinb7 Glut,11.5,13,10,3,0.8571428571428572
TH,Htr1d,AV Col27a1 Glut,13.5,14,13,1,0.9523809523809523
TH,Htr1d,OPC NN,14.0,16,12,4,0.8095238095238095
TH,Htr1d,LGv-ZI Otx2 Gaba,14.0,12,16,4,0.8095238095238095
TH,Htr1d,Oligo NN,14.5,15,14,1,0.9523809523809523
TH,Htr1d,Astro-NT NN,16.0,17,15,2,0.9047619047619048
TH,Htr1d,Microglia NN,18.5,20,17,3,0.8571428571428572
TH,Htr1d,Ependymal NN,19.5,20,19,1,0.9523809523809523
TH,Htr1d,Peri NN,20.0,20,20,0,1.0
TH,Htr1d,Endo NN,20.5,20,21,1,0.9523809523809523
TH,Htr1d,SMC NN,21.0,20,22,2,0.9047619047619048
TH,Htr2a,AD Serpinb7 Glut,1.0,1,1,0,1.0
TH,Htr2a,LGv-ZI Otx2 Gaba,2.5,2,3,1,0.9523809523809523
TH,Htr2a,APN C1ql4 Glut,4.0,6,2,4,0.8095238095238095
TH,Htr2a,SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,4.0,3,5,2,0.9047619047619048
TH,Htr2a,ZI Pax6 Gaba,4.5,5,4,1,0.9523809523809523
TH,Htr2a,Endo NN,5.0,4,6,2,0.9047619047619048
TH,Htr2a,RT-ZI Gnb3 Gaba,7.0,7,7,0,1.0
TH,Htr2a,RE-Xi Nox4 Glut,9.5,11,8,3,0.8571428571428572
TH,Htr2a,PF Fzd5 Glut,10.5,10,11,1,0.9523809523809523
TH,Htr2a,PVT-PT Ntrk1 Glut,11.0,13,9,4,0.8095238095238095
TH,Htr2a,OPC NN,11.5,8,15,7,0.6666666666666667
TH,Htr2a,CM-IAD-CL-PCN Sema5b Glut,11.5,9,14,5,0.7619047619047619
TH,Htr2a,Astroependymal NN,12.0,12,12,0,1.0
TH,Htr2a,AV Col27a1 Glut,12.5,15,10,5,0.7619047619047619
TH,Htr2a,TH Prkcd Grin2c Glut,16.0,16,16,0,1.0
TH,Htr2a,VLMC NN,16.75,20,13,7,0.6428571428571428
TH,Htr2a,Astro-NT NN,18.0,17,19,2,0.9047619047619048
TH,Htr2a,Oligo NN,18.0,18,18,0,1.0
TH,Htr2a,Microglia NN,18.0,14,22,8,0.6190476190476191
TH,Htr2a,SMC NN,18.75,20,17,3,0.8333333333333334
TH,Htr2a,Peri NN,20.25,20,20,0,0.9761904761904762
TH,Htr2a,Ependymal NN,20.75,20,21,1,0.9761904761904762
TH,Htr3a,AD Serpinb7 Glut,1.0,1,1,0,1.0
TH,Htr3a,LGv-ZI Otx2 Gaba,2.5,3,2,1,0.9523809523809523
TH,Htr3a,ZI Pax6 Gaba,2.5,2,3,1,0.9523809523809523
TH,Htr3a,SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,4.0,4,4,0,1.0
TH,Htr3a,PF Fzd5 Glut,5.5,6,5,1,0.9523809523809523
TH,Htr3a,APN C1ql4 Glut,5.5,5,6,1,0.9523809523809523
TH,Htr3a,AV Col27a1 Glut,8.0,7,9,2,0.9047619047619048
TH,Htr3a,PVT-PT Ntrk1 Glut,9.0,10,8,2,0.9047619047619048
TH,Htr3a,RE-Xi Nox4 Glut,9.0,11,7,4,0.8095238095238095
TH,Htr3a,TH Prkcd Grin2c Glut,9.0,8,10,2,0.9047619047619048
TH,Htr3a,CM-IAD-CL-PCN Sema5b Glut,10.0,9,11,2,0.9047619047619048
TH,Htr3a,Oligo NN,13.0,12,14,2,0.9047619047619048
TH,Htr3a,RT-ZI Gnb3 Gaba,15.0,18,12,6,0.7142857142857143
TH,Htr3a,Astro-NT NN,15.5,13,18,5,0.7619047619047619
TH,Htr3a,Astroependymal NN,15.5,18,13,5,0.7619047619047619
TH,Htr3a,OPC NN,16.5,18,15,3,0.8571428571428572
TH,Htr3a,Microglia NN,17.0,18,16,2,0.9047619047619048
TH,Htr3a,Peri NN,17.5,18,17,1,0.9523809523809523
TH,Htr3a,Ependymal NN,18.5,18,19,1,0.9523809523809523
TH,Htr3a,Endo NN,19.0,18,20,2,0.9047619047619048
TH,Htr3a,VLMC NN,19.5,18,21,3,0.8571428571428572
TH,Htr3a,SMC NN,20.0,18,22,4,0.8095238095238095
TH,Htr7,PF Fzd5 Glut,1.0,1,1,0,1.0
TH,Htr7,PVT-PT Ntrk1 Glut,2.5,2,3,1,0.9523809523809523
TH,Htr7,RE-Xi Nox4 Glut,3.0,4,2,2,0.9047619047619048
TH,Htr7,CM-IAD-CL-PCN Sema5b Glut,4.0,3,5,2,0.9047619047619048
TH,Htr7,AD Serpinb7 Glut,5.5,5,6,1,0.9523809523809523
TH,Htr7,ZI Pax6 Gaba,7.0,10,4,6,0.7142857142857143
TH,Htr7,TH Prkcd Grin2c Glut,7.5,6,9,3,0.8571428571428572
TH,Htr7,LGv-ZI Otx2 Gaba,8.0,8,8,0,1.0
TH,Htr7,SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,8.0,9,7,2,0.9047619047619048
TH,Htr7,AV Col27a1 Glut,10.5,7,14,7,0.6666666666666667
TH,Htr7,APN C1ql4 Glut,10.5,11,10,1,0.9523809523809523
TH,Htr7,OPC NN,14.5,17,12,5,0.7619047619047619
TH,Htr7,VLMC NN,16.0,13,19,6,0.7142857142857143
TH,Htr7,Peri NN,16.0,15,17,2,0.9047619047619048
TH,Htr7,Astroependymal NN,16.0,21,11,10,0.5238095238095238
TH,Htr7,Astro-NT NN,16.0,19,13,6,0.7142857142857143
TH,Htr7,RT-ZI Gnb3 Gaba,16.5,12,21,9,0.5714285714285714
TH,Htr7,Microglia NN,16.5,18,15,3,0.8571428571428572
TH,Htr7,Oligo NN,17.0,16,18,2,0.9047619047619048
TH,Htr7,SMC NN,17.0,14,20,6,0.7142857142857143
TH,Htr7,Endo NN,18.0,20,16,4,0.8095238095238095
TH,Htr7,Ependymal NN,22.0,22,22,0,1.0
TH,Adra1a,ZI Pax6 Gaba,2.0,3,1,2,0.9047619047619048
TH,Adra1a,OPC NN,3.0,2,4,2,0.9047619047619048
TH,Adra1a,LGv-ZI Otx2 Gaba,4.0,6,2,4,0.8095238095238095
TH,Adra1a,VLMC NN,4.5,4,5,1,0.9523809523809523
TH,Adra1a,Astro-NT NN,5.0,1,9,8,0.6190476190476191
TH,Adra1a,Astroependymal NN,5.5,5,6,1,0.9523809523809523
TH,Adra1a,APN C1ql4 Glut,6.5,10,3,7,0.6666666666666667
TH,Adra1a,AD Serpinb7 Glut,8.5,9,8,1,0.9523809523809523
TH,Adra1a,SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,8.5,7,10,3,0.8571428571428572
TH,Adra1a,PVT-PT Ntrk1 Glut,9.5,12,7,5,0.7619047619047619
TH,Adra1a,RT-ZI Gnb3 Gaba,12.0,13,11,2,0.9047619047619048
TH,Adra1a,Ependymal NN,12.0,8,16,8,0.6190476190476191
TH,Adra1a,CM-IAD-CL-PCN Sema5b Glut,14.0,14,14,0,1.0
TH,Adra1a,PF Fzd5 Glut,14.0,11,17,6,0.7142857142857143
TH,Adra1a,SMC NN,14.5,16,13,3,0.8571428571428572
TH,Adra1a,RE-Xi Nox4 Glut,15.5,19,12,7,0.6666666666666667
TH,Adra1a,TH Prkcd Grin2c Glut,16.5,18,15,3,0.8571428571428572
TH,Adra1a,Peri NN,17.5,15,20,5,0.7619047619047619
TH,Adra1a,Oligo NN,18.0,17,19,2,0.9047619047619048
TH,Adra1a,AV Col27a1 Glut,19.0,20,18,2,0.9047619047619048
TH,Adra1a,Microglia NN,21.5,22,21,1,0.9523809523809523
TH,Adra1a,Endo NN,21.5,21,22,1,0.9523809523809523
TH,Adra1b,CM-IAD-CL-PCN Sema5b Glut,1.5,2,1,1,0.9523809523809523
TH,Adra1b,TH Prkcd Grin2c Glut,1.5,1,2,1,0.9523809523809523
TH,Adra1b,PVT-PT Ntrk1 Glut,4.0,5,3,2,0.9047619047619048
TH,Adra1b,AD Serpinb7 Glut,4.0,4,4,0,1.0
TH,Adra1b,RT-ZI Gnb3 Gaba,5.5,6,5,1,0.9523809523809523
TH,Adra1b,AV Col27a1 Glut,5.5,3,8,5,0.7619047619047619
TH,Adra1b,RE-Xi Nox4 Glut,7.0,7,7,0,1.0
TH,Adra1b,ZI Pax6 Gaba,7.0,8,6,2,0.9047619047619048
