modality,gene,cell_type,bla_mean,mpfc_mean,bla_frac,mpfc_frac,log2fc,frac_diff,bla_rank,mpfc_rank
MERFISH,Htr1b,Astro-TE NN,0.14196798328284968,0.12666124085494743,0.15120087336244542,0.12674670340484157,0.15316327637047555,0.024454169957603855,7,8
MERFISH,Htr1b,Lamp5 Gaba,0.8864780639157118,0.7541061359451253,0.5912408759124088,0.553686934023286,0.23049523641168965,0.037553941889122866,1,1
MERFISH,Htr1b,Microglia NN,0.08552675712518756,0.13773169413180247,0.09811320754716982,0.1437125748502994,-0.6290025779342324,-0.04559936730312958,8,7
MERFISH,Htr1b,Pvalb Gaba,0.22188387524750375,0.46784486822507787,0.21428571428571427,0.3811175337186898,-1.0431398236956535,-0.1668318194329755,6,3
MERFISH,Htr1b,Pvalb chandelier Gaba,0.2128962310448176,0.5324306269106173,0.25,0.4065934065934066,-1.2830664164782848,-0.1565934065934066,4,2
MERFISH,Htr1b,Sncg Gaba,0.25972660493984806,0.3263428532572889,0.2638888888888889,0.2970027247956403,-0.3184347722967114,-0.03311383590675143,3,5
MERFISH,Htr1b,Sst Gaba,0.252593843504226,0.41066458421069785,0.23035230352303523,0.33783783783783783,-0.6798372698587994,-0.1074855343148026,5,4
MERFISH,Htr1b,Vip Gaba,0.27346909971832667,0.30184362922232716,0.2642857142857143,0.2642369020501139,-0.13763130678936875,4.8812235600381726e-05,2,6
MERFISH,Htr1d,Astro-TE NN,0.021768460123762982,0.019050073765423902,0.026746724890829694,0.02056681755559929,0.1290533346402937,0.006179907335230404,7,7
MERFISH,Htr1d,Lamp5 Gaba,0.04766422293803588,0.06377551504632976,0.058394160583941604,0.07373868046571798,-0.35546559358924584,-0.015344519881776375,5,4
MERFISH,Htr1d,Microglia NN,0.017594284111633992,0.00693643608429484,0.022641509433962263,0.007698887938408896,0.7042391357935336,0.014942621495553365,8,8
MERFISH,Htr1d,Pvalb Gaba,0.535531899757514,0.1056932232575709,0.4472049689440994,0.10905587668593449,2.237359199115164,0.3381490922581649,2,3
MERFISH,Htr1d,Pvalb chandelier Gaba,0.35145720367698696,0.17181687428685433,0.30952380952380953,0.13186813186813187,0.991338741849229,0.17765567765567766,3,2
MERFISH,Htr1d,Sncg Gaba,0.05682105347820486,0.057977710839675546,0.0625,0.05994550408719346,-0.024759051814613627,0.0025544959128065425,4,5
MERFISH,Htr1d,Sst Gaba,0.5324614460281644,0.14013459289105828,0.4796747967479675,0.13803088803088803,1.8532641753026269,0.34164390871707945,1,1
MERFISH,Htr1d,Vip Gaba,0.034815683448576905,0.027950357250901555,0.039285714285714285,0.02847380410022779,0.23989023150581573,0.010811910185486495,6,6
MERFISH,Htr2a,Astro-TE NN,0.12326742835839431,0.23399250323204077,0.12609170305676856,0.21186774257036017,-0.8725126039554846,-0.08577603951359161,7,7
MERFISH,Htr2a,Lamp5 Gaba,2.1252685065450105,1.9685124093804847,0.9197080291970803,0.8525226390685641,0.11000138377809551,0.06718539012851621,2,2
MERFISH,Htr2a,Microglia NN,0.09432466944616866,0.20406235021557687,0.10566037735849057,0.19931565440547477,-1.036950724059607,-0.0936552770469842,8,8
MERFISH,Htr2a,Pvalb Gaba,2.3272539194687605,1.9444148247473934,0.9440993788819876,0.8712909441233141,0.2580777651713319,0.07280843475867349,1,1
MERFISH,Htr2a,Pvalb chandelier Gaba,1.3287970565995395,0.8501230608428998,0.7738095238095238,0.5274725274725275,0.638322293148517,0.24633699633699635,3,5
MERFISH,Htr2a,Sncg Gaba,0.46707032249414226,0.9185888936896064,0.4166666666666667,0.5940054495912807,-0.9608380835766542,-0.17733878292461397,5,4
MERFISH,Htr2a,Sst Gaba,1.4005997000257042,1.056686449622773,0.7235772357723578,0.6568532818532818,0.4031724769074199,0.06672395391907593,4,3
MERFISH,Htr2a,Vip Gaba,0.24714234759756054,0.690228774629639,0.225,0.5125284738041003,-1.4452591273290167,-0.2875284738041003,6,6
MERFISH,Htr3a,Astro-TE NN,0.10440550730489556,0.07428466941294116,0.10152838427947598,0.07321393426490848,0.4408143553944734,0.028314450014567505,7,7
MERFISH,Htr3a,Lamp5 Gaba,0.2644432284798127,0.6279283381215364,0.2116788321167883,0.4023285899094437,-1.2168866243177783,-0.1906497577926554,5,3
MERFISH,Htr3a,Microglia NN,0.05605548219465609,0.05051992612562027,0.06792452830188679,0.05474764756201882,0.12626807465415069,0.013176880739867974,8,8
MERFISH,Htr3a,Pvalb Gaba,0.21115010199928114,0.09110707234381861,0.2204968944099379,0.0978805394990366,1.1291419917189562,0.12261635491090128,4,6
MERFISH,Htr3a,Pvalb chandelier Gaba,0.17344669355964615,0.19576261499226574,0.19047619047619047,0.18681318681318682,-0.16561998108431394,0.00366300366300365,6,4
MERFISH,Htr3a,Sncg Gaba,2.8725790692553566,3.709434509880629,0.7638888888888888,0.8692098092643051,-0.367723113978504,-0.1053209203754163,2,1
MERFISH,Htr3a,Sst Gaba,0.4125193093798216,0.10879684608669346,0.3008130081300813,0.1138996138996139,1.8305207400796233,0.18691339423046743,3,5
MERFISH,Htr3a,Vip Gaba,2.46525009507164,2.3571601354026748,0.8642857142857143,0.8223234624145785,0.06441699414010693,0.04196225187113578,1,2
MERFISH,Htr7,Astro-TE NN,0.09364333086751726,0.0733405575020887,0.1064410480349345,0.0778390080692777,0.3145366303900377,0.0286020399656568,7,7
MERFISH,Htr7,Lamp5 Gaba,0.7651331613083641,0.2669450638079495,0.6277372262773723,0.26002587322121606,1.4848443499261959,0.3677113530561562,2,5
MERFISH,Htr7,Microglia NN,0.07327292109055887,0.06023848943391415,0.07924528301886792,0.06928999144568007,0.24558561419530528,0.00995529157318785,8,8
MERFISH,Htr7,Pvalb Gaba,0.49976916428740426,0.30205600139600997,0.4658385093167702,0.29441233140655104,0.7080391504413585,0.17142617791021914,4,3
MERFISH,Htr7,Pvalb chandelier Gaba,0.46140075165373373,0.24795226070483714,0.42857142857142855,0.25274725274725274,0.869849968595072,0.1758241758241758,6,6
MERFISH,Htr7,Sncg Gaba,0.5651627914931757,0.615153015034252,0.5069444444444444,0.4986376021798365,-0.12023900521585226,0.008306842264607928,3,1
MERFISH,Htr7,Sst Gaba,0.9393601312110584,0.30962754465522274,0.7018970189701897,0.2924710424710425,1.5705637231770726,0.40942597649914725,1,4
MERFISH,Htr7,Vip Gaba,0.5172676662414618,0.3695310954926655,0.44285714285714284,0.33029612756264237,0.47431743627792716,0.11256101529450047,5,2
MERFISH,Adra1a,Astro-TE NN,0.2743310102703976,0.39767058883095924,0.27510917030567683,0.3651840188939185,-0.5198324244920228,-0.09007484858824166,6,6
MERFISH,Adra1a,Lamp5 Gaba,0.9910379104831631,1.5795922579606314,0.708029197080292,0.8253557567917206,-0.6671601393677073,-0.11732655971142858,1,1
MERFISH,Adra1a,Microglia NN,0.07037361055591412,0.10759748327826366,0.0830188679245283,0.11719418306244654,-0.5490633877250436,-0.034175315137918244,8,8
MERFISH,Adra1a,Pvalb Gaba,0.8117671861806397,1.421282794836863,0.5838509316770186,0.8096339113680154,-0.80050712110843,-0.2257829796909968,2,2
MERFISH,Adra1a,Pvalb chandelier Gaba,0.10441826469112991,0.4724752654099314,0.11904761904761904,0.3516483516483517,-2.0761376138188,-0.23260073260073263,7,7
MERFISH,Adra1a,Sncg Gaba,0.36825489920632326,0.4933013152453909,0.3402777777777778,0.4196185286103542,-0.41206359940756326,-0.07934075083257641,4,4
MERFISH,Adra1a,Sst Gaba,0.6822102921209742,0.498360263397436,0.5203252032520326,0.41843629343629346,0.4453591276325423,0.10188890981573911,3,5
MERFISH,Adra1a,Vip Gaba,0.3614521737727506,0.5372008461108005,0.325,0.4202733485193622,-0.5588939920972433,-0.0952733485193622,5,3
MERFISH,Adra1b,Astro-TE NN,0.21532588429927657,0.4706583126195351,0.21670305676855894,0.400019681165125,-1.0929986316945712,-0.18331662439656604,7,7
MERFISH,Adra1b,Lamp5 Gaba,1.4148315884390879,2.0453350379248896,0.8832116788321168,0.9197930142302717,-0.5285821788455867,-0.03658133539815489,2,2
MERFISH,Adra1b,Microglia NN,0.08168433920378658,0.31026873846463954,0.09433962264150944,0.3011120615911035,-1.8045357528735952,-0.20677243894959405,8,8
MERFISH,Adra1b,Pvalb Gaba,0.29675003298290364,1.0928876821930007,0.2826086956521739,0.6647398843930635,-1.8461504705815486,-0.38213118874088964,4,4
MERFISH,Adra1b,Pvalb chandelier Gaba,0.27573722440629317,0.7800366955091449,0.2619047619047619,0.5384615384615384,-1.4672306693741615,-0.2765567765567765,5,6
MERFISH,Adra1b,Sncg Gaba,1.5118218925355555,2.2187110312719835,0.8055555555555556,0.8528610354223434,-0.5504100508101731,-0.04730547986678779,3,3
MERFISH,Adra1b,Sst Gaba,0.22943419693127745,0.9673361550811521,0.22493224932249323,0.6317567567567568,-2.029225644605174,-0.40682450743426357,6,5
MERFISH,Adra1b,Vip Gaba,2.177148983816311,2.8764652235920547,0.8892857142857142,0.9578587699316629,-0.40025234675174687,-0.06857305564594862,1,1
MERFISH,Drd1,Astro-TE NN,0.1296725863034405,0.15259234590324164,0.13482532751091703,0.14564062192481794,-0.219210454448018,-0.010815294413900917,7,7
MERFISH,Drd1,Lamp5 Gaba,0.8245554349792128,0.7798728262564423,0.5766423357664233,0.5523932729624839,0.07938749277658054,0.02424906280393946,3,3
MERFISH,Drd1,Microglia NN,0.0824214969088799,0.10451090976714042,0.09056603773584905,0.10521813515825491,-0.3091846928866206,-0.014652097422405863,8,8
MERFISH,Drd1,Pvalb Gaba,0.6825742576255265,1.662402744942984,0.4937888198757764,0.8377649325626204,-1.2718816464747014,-0.343976112686844,4,1
MERFISH,Drd1,Pvalb chandelier Gaba,1.2887117520781146,1.0430519384962815,0.8452380952380952,0.6263736263736264,0.3025046668867374,0.21886446886446886,1,2
