cell_label,subclass,supertype,class,neurotransmitter,parcellation_structure,parcellation_substructure,parcellation_division
1018093343101250153,308 DCO Il22 Gly-Gaba,1141 DCO Il22 Gly-Gaba_1,28 CB GABA,GABA-Glyc,PB,PB-unassigned,P
1018093343101400624,273 PDTg-PCG Pax6 Gaba,1063 PDTg-PCG Pax6 Gaba_3,26 P GABA,GABA,PDTg,PDTg,P
1018093343101550563,273 PDTg-PCG Pax6 Gaba,1063 PDTg-PCG Pax6 Gaba_3,26 P GABA,GABA,PDTg,PDTg,P
1018093343101100492,309 CB PLI Gly-Gaba,1147 CB PLI Gly-Gaba_4,28 CB GABA,GABA,PB,PB-unassigned,P
1018093343101720859,312 CBX MLI Cdh22 Gaba,1151 CBX MLI Cdh22 Gaba_1,28 CB GABA,GABA,PB,PB-unassigned,P
1018093343101260154,311 CBX MLI Megf11 Gaba,1149 CBX MLI Megf11 Gaba_1,28 CB GABA,GABA,PB,PB-unassigned,P
1018093343101250243,315 DCO UBC Glut,1156 DCO UBC Glut_1,29 CB Glut,Glut,PB,PB-unassigned,P
1018093343101260247,315 DCO UBC Glut,1156 DCO UBC Glut_1,29 CB Glut,Glut,PB,PB-unassigned,P
1018093343101720964,312 CBX MLI Cdh22 Gaba,1151 CBX MLI Cdh22 Gaba_1,28 CB GABA,GABA,PB,PB-unassigned,P
1018093343101110555,334 Microglia NN,1194 Microglia NN_1,34 Immune,,PB,PB-unassigned,P
1018093343101870117,334 Microglia NN,1194 Microglia NN_1,34 Immune,,PB,PB-unassigned,P
1018093343101260236,334 Microglia NN,1194 Microglia NN_1,34 Immune,,PB,PB-unassigned,P
1018093343101720814,334 Microglia NN,1194 Microglia NN_1,34 Immune,,PB,PB-unassigned,P
1018093343101110666,334 Microglia NN,1194 Microglia NN_1,34 Immune,,PB,PB-unassigned,P
1018093343101720871,335 BAM NN,1195 BAM NN_1,34 Immune,,PB,PB-unassigned,P
1018093343101720759,334 Microglia NN,1194 Microglia NN_1,34 Immune,,PB,PB-unassigned,P
1018093343101870069,334 Microglia NN,1194 Microglia NN_1,34 Immune,,PB,PB-unassigned,P
1018093343101550615,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101870086,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101870202,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101720985,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101110872,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101870121,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101870064,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101870152,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101870120,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101560513,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101110870,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101260254,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343201400480,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101100499,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101720849,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101110832,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101100525,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101870063,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101720891,319 Astro-TE NN,1163 Astro-TE NN_3,30 Astro-Epen,,PB,PB-unassigned,P
1018093343201720703,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101100515,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343201870016,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101870037,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101100548,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101100597,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101720783,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101100529,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101250057,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101720851,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101260111,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101260292,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101870230,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101110680,326 OPC NN,1179 OPC NN_1,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101870127,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101110851,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101250165,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101560629,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PDTg,PDTg,P
1018093343101100584,326 OPC NN,1179 OPC NN_1,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101400673,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PDTg,PDTg,P
1018093343101110641,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101720829,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101260132,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101720905,327 Oligo NN,1181 COP NN_1,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343201100473,327 Oligo NN,1181 COP NN_1,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101100444,327 Oligo NN,1182 NFOL NN_2,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101100524,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101550809,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PDTg,PDTg,P
1018093343101560611,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101110511,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101260137,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101260163,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101260192,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101100572,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101550075,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PDTg,PDTg,P
1018093343101550618,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PDTg,PDTg,P
1018093343101550669,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PDTg,PDTg,P
1018093343101560717,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PDTg,PDTg,P
1018093343101560786,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PDTg,PDTg,P
1018093343101110562,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101400652,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PDTg,PDTg,P
1018093343101870200,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101720820,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101870186,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101110779,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101110566,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101870165,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101100400,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101100294,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101100540,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101870134,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101260096,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101560759,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PDTg,PDTg,P
1018093343101110644,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101400666,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PDTg,PDTg,P
1018093343101400752,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PDTg,PDTg,P
1018093343101550081,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PDTg,PDTg,P
1018093343101550084,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PDTg,PDTg,P
1018093343101100488,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101110866,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101720777,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101110559,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101720936,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101100442,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101100569,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101870201,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101870245,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101250237,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101100417,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101400567,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101400568,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101400824,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101720768,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101720888,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101100468,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101870058,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101110557,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101110625,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101870189,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101260183,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101100576,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101400815,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101400822,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101250039,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101550091,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101250056,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101250086,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101720806,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101720832,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101260161,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101560646,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101100564,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101870105,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101250334,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,LC,LC,P
1018093343101260109,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101400634,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101400680,333 Endo NN,1193 Endo NN_1,33 Vascular,,PDTg,PDTg,P
1018093343101400709,273 PDTg-PCG Pax6 Gaba,1063 PDTg-PCG Pax6 Gaba_3,26 P GABA,GABA,PDTg,PDTg,P
1018093343101720855,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101720975,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101260141,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101260301,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101100439,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101250130,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101100438,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101550768,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101100475,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101100555,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101100614,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101400833,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101720957,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101400633,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101400596,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101250172,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101250345,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LC,LC,P
1018093343101720816,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101250374,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,LC,LC,P
1018093343101550048,333 Endo NN,1193 Endo NN_1,33 Vascular,,PDTg,PDTg,P
1018093343101720882,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101260228,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101100500,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PB,PB-unassigned,P
1018093343101250092,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101400651,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101400776,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101400735,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101550806,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PDTg,PDTg,P
1018093343101550035,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101720801,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101400598,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101550568,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101250078,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101260275,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101550605,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PDTg,PDTg,P
1018093343101260125,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
1018093343101720856,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,PB,PB-unassigned,P
