cell_label,Htr1b,Htr1d,Htr2a,Htr3a,Htr7,Adra1a,Adra1b,Drd1,Drd2,Drd3,Drd5
1019171907202100204,0.0,0.0,0.0,0.0,0.0,1.2377283916668507,0.0,0.0,0.0,0.0,0.0
1019171907101860249-1,0.0,0.0,0.0,0.0,0.0,0.0,1.1127737687643813,0.0,0.0,0.0,1.1127737687643813
1019171907101860145-1,0.8424578106726105,0.0,0.0,0.0,0.0,0.8424578106726105,0.0,0.0,0.0,0.0,0.0
1019171907102090608,0.0,0.0,0.0,0.0,0.0,0.0,0.6917985259539918,0.0,0.6917985259539918,0.0,0.0
1019171907102310104-1,0.0,0.0,0.0,0.0,0.0,0.8047565018423138,0.8047565018423138,0.0,0.0,0.0,0.0
1019171907102090589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907101860617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907101860157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907101860172-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907101860370-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907101860854,0.0,0.0,0.0,0.0,0.0,0.0,1.0378286942562511,0.0,0.0,0.0,0.0
1019171907101860357-1,0.0,0.0,0.7901393852291403,0.0,0.0,0.0,0.7901393852291403,0.0,0.0,0.0,0.0
1019171907101860632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907102090775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907102090811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907101860532-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907102090761,0.5289640357705957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907101860218-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907101860455-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907102100428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907101860169-1,0.0,0.0,0.0,0.0,0.0,0.797805027253046,0.0,0.0,0.0,0.0,0.0
1019171907101860252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907101860831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907101860527-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907102090730,1.082270919434705,0.0,1.082270919434705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907102090743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907102100658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907101860219-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907101860225-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907101860290,0.0,0.0,1.0889550466783147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907101860419-1,0.0,0.0,0.0,0.0,0.0,0.8488998493463938,0.0,0.0,0.0,0.0,0.0
1019171907102310060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907102090527,0.0,0.0,0.0,0.0,0.8708297423516496,0.0,0.0,0.0,0.0,0.0,0.0
1019171907101640746-1,0.0,0.0,0.0,0.0,0.7750519185760207,0.0,0.7750519185760207,0.0,0.0,0.0,0.0
1019171907101860180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907101860359-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907101860711,0.0,0.0,0.0,0.0,0.0,0.0,0.7610256343522092,0.0,0.0,0.0,0.0
1019171907101860870,0.0,0.0,0.0,0.0,0.9097648407091578,0.0,0.0,0.0,0.0,0.0,0.0
1019171907101860525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907102090585,0.9037260827798268,0.0,0.0,0.0,0.9037260827798268,0.9037260827798268,0.0,0.0,0.0,0.0,0.0
1019171907102090583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907102090709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019171907101860471-1,0.0,0.0,0.0,0.0,0.0,0.8988856416883428,0.8988856416883428,0.0,0.0,0.0,0.0
1019171907101860328-1,0.0,0.0,0.0,0.0,0.0,1.0030431291539001,1.0030431291539001,0.0,0.0,0.0,0.0
1019171907102310120-1,0.0,0.0,0.0,0.0,0.0,0.0,0.9999686534792857,0.0,0.0,0.0,0.0
