cell_label,subclass,supertype,class,neurotransmitter,parcellation_structure,parcellation_substructure
1019171907202100204,321 Astroependymal NN,1169 Astroependymal NN_1,30 Astro-Epen,,LH,LH
1019171907101860249-1,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,LH,LH
1019171907101860145-1,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907102090608,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907102310104-1,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907102090589,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907101860617,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,LH,LH
1019171907101860157,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907101860172-1,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907101860370-1,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,LH,LH
1019171907101860854,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907101860357-1,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907101860632,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,LH,LH
1019171907102090775,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907102090811,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907101860532-1,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907102090761,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860218-1,321 Astroependymal NN,1169 Astroependymal NN_1,30 Astro-Epen,,LH,LH
1019171907101860455-1,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,LH,LH
1019171907102100428,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,LH,LH
1019171907101860169-1,321 Astroependymal NN,1169 Astroependymal NN_1,30 Astro-Epen,,LH,LH
1019171907101860252,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,LH,LH
1019171907101860831,333 Endo NN,1193 Endo NN_1,33 Vascular,,LH,LH
1019171907101860527-1,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907102090730,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907102090743,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907102100658,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907101860219-1,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,LH,LH
1019171907101860225-1,321 Astroependymal NN,1169 Astroependymal NN_1,30 Astro-Epen,,LH,LH
1019171907101860290,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907101860419-1,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907102310060,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907102090527,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,LH,LH
1019171907101640746-1,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907101860180,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907101860359-1,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907101860711,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,LH,LH
1019171907101860870,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907101860525,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907102090585,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907102090583,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907102090709,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907101860471-1,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,LH,LH
1019171907101860328-1,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,LH,LH
1019171907102310120-1,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,LH,LH
1019171907101860141-1,326 OPC NN,1179 OPC NN_1,31 OPC-Oligo,,LH,LH
1019171907102100350,326 OPC NN,1179 OPC NN_1,31 OPC-Oligo,,LH,LH
1019171907102100705,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,LH,LH
1019171907101860408,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,LH,LH
1019171907202080059,326 OPC NN,1179 OPC NN_1,31 OPC-Oligo,,LH,LH
1019171907102090570,326 OPC NN,1179 OPC NN_1,31 OPC-Oligo,,LH,LH
1019171907101860306-1,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,LH,LH
1019171907102090776,326 OPC NN,1179 OPC NN_1,31 OPC-Oligo,,LH,LH
1019171907102090435,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,LH,LH
1019171907101850188,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,LH,LH
1019171907101860771,326 OPC NN,1179 OPC NN_1,31 OPC-Oligo,,LH,LH
1019171907102080136,326 OPC NN,1180 OPC NN_2,31 OPC-Oligo,,LH,LH
1019171907102080060,327 Oligo NN,1181 COP NN_1,31 OPC-Oligo,,LH,LH
1019171907101860628,327 Oligo NN,1182 NFOL NN_2,31 OPC-Oligo,,LH,LH
1019171907101860152-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860155-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860173-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860321-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860581,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860701,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860676,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907202090550,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860875,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860209-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860762,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860723,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907102100317,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860844,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907102080026,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860820,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860343,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907102090837,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860130,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907102100489,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907102100580,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860099-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860178-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860244-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860779,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907102090476,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907102100766,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860577-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860143-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860411-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907102100374,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907102100377,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860117-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860308-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860355-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860660,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860730,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860778,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907102100430,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860202-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860210-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860689,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860856,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907202090475,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907101860238-1,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,LH,LH
1019171907102090568,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,LH,LH
1019171907101860149-1,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,LH,LH
1019171907101860174-1,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907101860388-1,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907101860500,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907101860531-1,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907101860570-1,321 Astroependymal NN,1169 Astroependymal NN_1,30 Astro-Epen,,LH,LH
1019171907101860629,318 Astro-NT NN,1159 Astro-NT NN_1,30 Astro-Epen,,LH,LH
1019171907101860716,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
1019171907102080135,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,LH,LH
