,Htr1a,Htr2a,Htr2c,Sst,Pvalb,Vip
mPFC | L2/3 IT CTX Glut,0.1532303529146465,0.4540534445822528,0.19483594542789492,0.20385612808659376,0.014545044537151877,0.10531063254030894
mPFC | L4/5 IT CTX Glut,0.2573487846240814,0.6863340870548332,0.3114047484454494,0.21919163369135106,0.014414923685698135,0.10994912379875636
mPFC | L5 IT CTX Glut,0.2828694274722788,0.7861507128309573,0.05069020140303236,0.208418194161575,0.01493550577053632,0.10251188051595383
mPFC | L5 ET CTX Glut,0.24311313185343675,0.22679860925381118,0.06579299277881787,0.22572880449318,0.040385129713827225,0.11366675581706338
mPFC | L5 NP CTX Glut,0.055165496489468405,0.029839518555667,0.9019558676028084,0.14944834503510532,0.014543630892678034,0.07547642928786359
mPFC | L6 CT CTX Glut,0.16841467393837692,0.057427865566587424,0.05299958047825479,0.177411084696779,0.016221507481471123,0.09266769216426607
mPFC | L6b CTX Glut,0.10970996216897856,0.5012610340479193,0.035939470365699874,0.18032786885245902,0.06494325346784363,0.08764186633039092
mPFC | Lamp5 Gaba,0.04959384352287302,0.6554082941427961,0.17443351859769132,0.15305686190679776,0.01966652415562206,0.07866609662248825
mPFC | Lamp5 Lhx6 Gaba,0.0,0.5625,0.08522727272727272,0.125,0.045454545454545456,0.07386363636363637
mPFC | Sncg Gaba,0.04896551724137931,0.21655172413793103,0.8496551724137931,0.17517241379310344,0.11862068965517242,0.48
mPFC | Vip Gaba,0.03234665852914251,0.05675923100396704,0.5898687824229478,0.12145254806225206,0.027158986878242294,0.9285932255111382
mPFC | Sst Gaba,0.219825181327878,0.28380137623209967,0.11344615956853264,0.9905151571508276,0.09801004277478148,0.09652222428863678
mPFC | Sst Chodl Gaba,0.5052631578947369,0.3333333333333333,0.23508771929824562,1.0,0.014035087719298246,0.07017543859649122
mPFC | Pvalb Gaba,0.03555245730219589,0.5817357964447543,0.24642732659463226,0.3677239456256535,0.7127919135587313,0.09027535726734054
mPFC | Pvalb chandelier Gaba,0.19487179487179487,0.2358974358974359,0.020512820512820513,0.1794871794871795,0.6307692307692307,0.046153846153846156
LHb | LH Pou4f1 Sox1 Glut_1,0.0015420200462606013,0.4171164225134927,0.4579799537393986,0.036237471087124135,0.02313030069390902,0.0007710100231303007
LHb | LH Pou4f1 Sox1 Glut_2,0.0,0.5646153846153846,0.45692307692307693,0.010769230769230769,0.06461538461538462,0.0
LHb | LH Pou4f1 Sox1 Glut_3,0.0019646365422396855,0.2318271119842829,0.9273084479371316,0.03143418467583497,0.007858546168958742,0.0
LHb | LH Pou4f1 Sox1 Glut_4,0.006711409395973154,0.4161073825503356,0.8825503355704698,0.030201342281879196,0.1174496644295302,0.0
