,Htr1a,Htr2a,Htr2c,Sst,Pvalb,Vip,Slc6a4
mPFC | L2/3 IT CTX Glut,0.0,1.465203442197835,0.0,0.0,0.0,0.0,0.0
mPFC | L4/5 IT CTX Glut,0.03558835390050877,3.571866160222348,0.3958781001036367,0.0,0.0,0.0,0.0
mPFC | L5 IT CTX Glut,0.17577409438744718,6.624463680760526,0.0,0.0,0.0,0.0,0.0
mPFC | L5 ET CTX Glut,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mPFC | L5 NP CTX Glut,0.0,0.0,9.27051495461384,0.0,0.0,0.0,0.0
mPFC | L6 CT CTX Glut,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mPFC | L6b CTX Glut,0.0,2.0469460643397817,0.0,0.0,0.0,0.0,0.0
mPFC | Lamp5 Gaba,0.0,3.5716704897947547,0.0,0.0,0.0,0.0,0.0
mPFC | Lamp5 Lhx6 Gaba,0.0,2.583373468939394,0.0,0.0,0.0,0.0,0.0
mPFC | Sncg Gaba,0.0,0.0,8.32210021243094,0.0,0.0,2.293262383532659,0.0
mPFC | Vip Gaba,0.0,0.0,3.3405958897070787,0.0,0.0,11.580186266015863,0.0
mPFC | Sst Gaba,0.0,0.2091331031490206,0.0,11.10993033302343,0.0,0.0,0.0
mPFC | Sst Chodl Gaba,1.9569965705607477,0.5608525172897196,0.0,11.85414768181818,0.0,0.0,0.0
mPFC | Pvalb Gaba,0.0,2.6564078587360593,0.0,0.8465796216542751,4.793842684293681,0.0,0.0
mPFC | Pvalb chandelier Gaba,0.0,0.0,0.0,0.0,3.4879989335616437,0.0,0.0
LHb | LH Pou4f1 Sox1 Glut_1,0.0,1.195022360226105,1.7260289393627954,0.0,0.0,0.0,0.0
LHb | LH Pou4f1 Sox1 Glut_2,0.0,2.358722710882957,1.8707674636550309,0.0,0.0,0.0,0.0
LHb | LH Pou4f1 Sox1 Glut_3,0.0,0.0,10.230498323529412,0.0,0.0,0.0,0.0
LHb | LH Pou4f1 Sox1 Glut_4,0.0,1.156184539910314,10.210685483108108,0.0,0.0,0.0,0.0
