subclass,Pde1a,Pde1b,Pde1c,Pde2a,Pde3a,Pde3b,Pde4a,Pde4b,Pde4c,Pde4d,Pde5a,Pde7a,Pde7b,Pde8a,Pde8b,Pde9a,Pde10a,Pde11a
L2/3 IT CTX Glut,0.16271255233659113,0.2769781320989298,-0.7383606184276102,0.1754291618139185,-0.9227646853156131,0.16917230201798855,-0.4264361469137278,0.0944845349305322,-0.8530470339875551,-0.04165972835711723,-1.3551031909958184,0.23055138632577304,1.0749191155573126,0.057636461284194716,0.12897436961515293,-0.8364160579768654,0.016656608127966824,-1.253375103590929
L2/3 IT RSP Glut,-0.4548473464332318,-0.6715210794840695,-1.0796673977596885,-0.46013006208204593,0.16043263086499804,-0.2650096708196991,-0.3047738483048218,0.12035998116503566,-0.5554709345944733,-0.17513477928643797,-2.451501730389438,-0.1841021665934443,1.0557440505858093,-1.9798242385076295,0.06975298162723868,-4.238705149393844,0.05164060688626869,-2.4321875106360493
L4/5 IT CTX Glut,0.12955729972842006,0.4475897305959942,-0.01327978824217752,0.025393153267313524,-1.5193672035062542,-0.2865909443676884,0.13720450795135475,0.22736509836202468,-0.12133578683332305,-0.1146319811212734,-1.208587290249293,0.1809175460577823,0.8715291223741932,-0.5074160365068124,0.29875656276355733,-1.4568616978467548,0.09588362847704371,-1.5269112094371915
L5 IT CTX Glut,0.1729799204963756,0.12841098703259252,0.48762887940442473,-0.056422092040230576,-2.148352659650336,-0.27563029204450035,0.20329955644110628,0.21840727421941222,0.25101012954592833,-0.04805219574731856,-2.603266340285703,0.12484862724544604,0.24818899920791238,-0.4995351661390274,0.10685836401136424,-2.725997925234862,0.037978712115980154,-1.8867926231110994
L5 ET CTX Glut,0.20507485846536083,-0.9497032204160792,-0.6216569894206555,0.14590418227055996,-2.048195197017386,0.3628726190850927,0.2431843016223589,-0.11654473202582762,0.6172354806323541,0.047138165114561134,-3.105217304915676,0.09308450076630398,-3.3995855806321127,-0.16210861885566985,-1.0043122494232042,0.7858536322924725,-0.005189782847496237,-0.3617034224969738
L5 NP CTX Glut,-1.0715649004793637,-1.197826909430881,-0.8483575877330994,-0.05705846717452812,-2.6994148784079393,0.06591105172094042,-0.36200150269203163,0.25811359083971785,-0.7833889849830391,-0.274813859031548,-2.6197418704073803,-0.24902693339912343,-3.1816702833074384,-0.2366298262156894,-0.12847075933305305,-0.7590343213755334,-0.1678472373977272,-0.06229624479595477
L6 IT CTX Glut,0.14918446967184817,-0.0007530565582520271,-0.7486154992025023,0.05818405192909366,-2.0572476080354765,-0.12759648812351204,0.06976128383177016,0.07816346620529528,0.2621025431927951,0.06188169367606953,-1.5927931387054337,0.09371073494473219,0.24085238023523867,-0.7824052681546007,0.1797660360909034,-2.9273392162559637,-0.03781395708091053,-2.302601130754418
L6 CT CTX Glut,0.3311854104501473,-0.15676293760837426,-0.7952031747465202,0.12392266577945804,-2.367462891711609,0.1128005730246006,0.13970879414987253,0.13734260972767803,0.2797604391827467,0.17276927824354454,-1.6447915439877094,-0.14697922281439113,-1.6900889334200413,-0.5527312245783667,-0.19362170123399025,0.9780832593640446,-0.06144676718735439,-2.5635091896713034
L6b CTX Glut,0.3360125378306876,0.43883126033453584,-0.8055355528879454,0.14674695294555834,0.5789584423524019,0.1363582744001112,0.14381510655009105,0.07621382747209604,0.14372660457445988,0.14375171683159077,-3.2398119038125333,-0.2055199126184492,-3.758292537522443,-0.9868296416293375,-0.8603457164961118,0.6582658702600767,-0.0885083148058205,-2.147610127338017
L4 RSP-ACA Glut,0.08035354074461704,-0.40458480812209513,-1.055910540670047,0.2383521481936456,-1.7534666953677898,0.1011232843172845,0.18525286779110156,-0.39629712042004284,0.7650211731848812,-0.16961239808017697,-3.696457595778035,0.20630165963372907,0.566585940793604,-0.32110932650683377,0.44417824822221835,-3.4578433683046517,0.11938702091200255,-1.1174807752299452
Pvalb Gaba,-2.5126306162389294,0.19800550251737595,-0.27637596302745154,-0.2681132123203317,-1.7602979847410674,0.26441167826385104,0.07894205815008797,-2.064629544924655,0.8587501221223889,-0.09066523216232673,2.8735037382315287,-0.08519998358504019,-1.4475950097648178,1.5536762868917284,0.14132841212397865,1.1249098064970193,0.057120641701537654,-1.9024420440701508
Pvalb chandelier Gaba,-2.836981927444724,0.2796178077879238,0.09322173398969119,-0.33641198534903327,5.177148324851521,-0.1334199975286362,-0.005584202607479207,-2.318683345573273,-0.7259623278082136,0.18493532895575737,3.3610904413592206,-0.26872862300407274,-1.004323776128614,0.294756617332843,-0.4719022805245959,1.412241292437832,0.14564166273123558,3.5389787230666294
Sst Gaba,-0.30368556408683484,-0.01760487146032783,1.721481672458647,0.03455615945928641,-1.3127234302251019,0.20414202804824336,-0.04818434805819625,-1.957548663057152,-0.1448430466599902,-0.19304459353740275,-0.8133929263439296,-0.07879573807297875,-1.2701130408393322,0.3134450069367137,0.17702566134566328,0.26092898757943755,-0.00869571204850635,-2.1841561368778044
Sst Chodl Gaba,0.46975920404180305,-1.7777265151956003,-0.2405690764715715,0.008012861111251324,2.5212454787649787,-0.0005165001927246979,-0.32077972104254215,-0.08558894174909924,-2.042177660359267,-0.10349110842864237,-2.2855538215675826,-0.270069880553079,-2.3145649862242945,-0.36422222390440956,0.03477515455549969,0.9365673987247832,-0.013026052280068937,-0.20441318914835557
Vip Gaba,-2.3149190874421297,-0.14192000378023292,1.4728538778313172,-0.4519212598414026,3.5385659329310926,-0.10980669019414298,-0.5077536465928556,-0.03479835363547441,-1.2903779927604981,0.07128126919831221,2.538424355983146,-0.3913804768378924,-0.3413726181637943,1.9494683695425312,-0.07426618898133239,0.5821482457453176,0.0871708993647943,0.994709375584574
Lamp5 Gaba,-1.4654180668252497,-0.40534418851773657,-0.9695535322535769,-0.9954136002543719,0.3337306824943245,-0.20965403677202696,-0.4066289554897529,-0.7045831015992244,-1.0776853148852499,-0.24411564813607467,1.4537087250008274,-0.37317130855318115,0.38209083833428037,-0.31410124377522314,-0.6532087968977397,0.8307168022636796,0.038636109025950625,3.7800396604486037
Lamp5 Lhx6 Gaba,-2.555838084629194,-0.235088737232698,-1.2969209721145285,-0.9025336293757085,1.0926631400421747,-0.1368057124149845,-0.37076122194438527,-1.2237984349147786,-0.4059952474133905,0.19975920740580763,1.8555109532250031,-0.4529812695784028,-0.2996604950177984,-0.857185590388682,-0.837158941516417,-0.6686294204203546,0.06748067518329608,3.987995566850587
Sncg Gaba,-0.18023412492406288,-0.9677765856317557,1.4322160663234489,-0.9583496463647182,2.335532800522787,0.07929965748789466,-0.3235755965485843,-0.4905133966598239,-0.2799035053751039,0.00559108133287337,3.202302256994658,0.021697872525304942,0.4496254236804954,1.749203413371709,-0.5243965782303643,0.27992932381236285,0.012586194331901241,3.211653511377777
