subclass,Pde1a,Pde1b,Pde1c,Pde2a,Pde3a,Pde3b,Pde4a,Pde4b,Pde4c,Pde4d,Pde5a,Pde7a,Pde7b,Pde8a,Pde8b,Pde9a,Pde10a,Pde11a
L2/3 IT CTX Glut,0.9910330960273899,0.604478017499049,0.12233030813542742,0.9478832672137384,0.013205804032389544,0.44606271398293573,0.7113743818270746,0.9769034291614587,0.007608282158578338,0.996630617901201,0.04097603391120048,0.6990924406282267,0.7568066952882996,0.0259768490842889,0.8362045541003207,0.11847182218357698,0.9780990163578066,0.03651975436117602
L2/3 IT RSP Glut,0.6680420105026257,0.28019504876219054,0.07764441110277569,0.6327831957989497,0.024006001500375095,0.2813203300825206,0.6837959489872468,0.9437359339834959,0.007501875468867217,0.9519879969992499,0.014628657164291074,0.47336834208552137,0.705926481620405,0.004126031507876969,0.7314328582145536,0.008252063015753939,0.9534883720930233,0.01312828207051763
L4/5 IT CTX Glut,0.9749539752536712,0.6640407586590744,0.188337543348889,0.8944213726077835,0.00792053774029199,0.3383139958042557,0.9236631416705913,0.994862353898189,0.014042899344950122,0.9891253157511667,0.04581067774114826,0.689514920580554,0.6869460975296485,0.01746799674615747,0.9029413023932868,0.07980476944813118,0.992079462259708,0.029241769062807725
L5 IT CTX Glut,0.9786950732356857,0.5470705725699068,0.2422103861517976,0.8659786950732357,0.004460719041278296,0.3354194407456724,0.9460053262316911,0.9930758988015979,0.01870838881491345,0.9866178428761652,0.015912117177097205,0.6597203728362184,0.4565246338215712,0.017576564580559253,0.8145805592543276,0.03169107856191744,0.9789613848202396,0.022170439414114514
L5 ET CTX Glut,0.991768826619965,0.27933450087565675,0.13432574430823116,0.9574430823117338,0.004903677758318739,0.519614711033275,0.9700525394045534,0.908231173380035,0.026619964973730297,0.999124343257443,0.010858143607705779,0.6770577933450087,0.046935201401050786,0.022942206654991245,0.44851138353765324,0.3712784588441331,0.987215411558669,0.06129597197898424
L5 NP CTX Glut,0.5148094036392615,0.2118475229114092,0.09748970646832249,0.8206933191658918,0.002257935980873954,0.3762783902244654,0.6983663169079559,0.9875149422234029,0.006773807942621862,0.9327931996281047,0.013813255412405367,0.4866516137601275,0.045955638198964005,0.01793066808341081,0.684951520786293,0.11595165360605658,0.9091512817107186,0.06893345729844601
L6 IT CTX Glut,0.984598083317035,0.5059651867787991,0.11632114218658322,0.913749266575396,0.004645022491687855,0.36539213768824563,0.9001075689419128,0.969538431449247,0.018091140230784276,0.998630940739292,0.03359084686094269,0.6448269117934676,0.465088988851946,0.013690592607079992,0.8488656366125562,0.026696655583805986,0.9746235087033053,0.016477606102092705
L6 CT CTX Glut,0.9992178130051624,0.44407362986911403,0.10841111748448662,0.927360901079418,0.0032851853783177763,0.41062209938989414,0.9191479376336236,0.9757261302602075,0.017886009281952338,0.9998957084006883,0.030609584397976744,0.5484955936799291,0.12992125984251968,0.015435156698127965,0.6838400166866558,0.3860614277519946,0.9594044949679303,0.01259321061688481
L6b CTX Glut,0.9993930197268589,0.6136570561456752,0.10075872534142641,0.9350531107738999,0.03520485584218513,0.40971168437025796,0.9292867981790591,0.9617602427921093,0.016084977238239758,1.0,0.008497723823975721,0.5235204855842185,0.03186646433990895,0.01031866464339909,0.4561456752655539,0.3053110773899848,0.9672230652503794,0.016995447647951443
L4 RSP-ACA Glut,0.9940740740740741,0.38666666666666666,0.09037037037037036,0.9777777777777777,0.005925925925925926,0.4177777777777778,0.9540740740740741,0.8414814814814815,0.025185185185185185,0.9881481481481481,0.005925925925925926,0.6933333333333334,0.6148148148148148,0.017777777777777778,0.96,0.017777777777777778,0.9955555555555555,0.037037037037037035
Pvalb Gaba,0.22609233305853257,0.5554410552349547,0.15251442704039572,0.7722588623248146,0.005770816158285243,0.455482275350371,0.8979802143446002,0.2617477328936521,0.02926628194558945,0.9917559769167353,0.6075845012366035,0.5713107996702391,0.16199505358615005,0.06883759274525969,0.8307914262159934,0.42250618301731246,0.988252267106348,0.0208161582852432
Pvalb chandelier Gaba,0.18085106382978725,0.549645390070922,0.1879432624113475,0.7375886524822695,0.7269503546099291,0.33687943262411346,0.8652482269503546,0.2553191489361702,0.0070921985815602835,1.0,0.7836879432624113,0.4858156028368794,0.2127659574468085,0.028368794326241134,0.5815602836879432,0.48226950354609927,0.9929078014184397,0.7198581560283688
Sst Gaba,0.7797561238804359,0.4795510952843423,0.48732059997841803,0.8775223912808892,0.008740692780835222,0.4304521420092802,0.8471997410165102,0.3048451494550556,0.013164994064961692,0.9757202978310133,0.053846983921441674,0.5635049098953275,0.174598036041869,0.0287040034531132,0.8391065069601813,0.23880435955541168,0.9751807488939247,0.016833926837164132
Sst Chodl Gaba,0.9976076555023924,0.15311004784688995,0.14354066985645933,0.8851674641148325,0.13636363636363635,0.3875598086124402,0.7583732057416268,0.916267942583732,0.0023923444976076554,0.992822966507177,0.01674641148325359,0.5215311004784688,0.09330143540669857,0.019138755980861243,0.80622009569378,0.37799043062200954,0.9784688995215312,0.05980861244019139
Vip Gaba,0.22236093771674295,0.39117769454848106,0.39076154806491886,0.6329588014981273,0.21972534332084895,0.31335830212234705,0.607712581495353,0.8854210015258704,0.004300180330142877,0.9911222083506728,0.4400055486197808,0.4162851990567346,0.28714107365792757,0.07698709945900957,0.656956582050215,0.26217228464419473,0.9524205853793869,0.13635733111388543
