subclass,Htr1a,Htr1b,Htr1d,Htr1f,Htr2a,Htr2b,Htr2c,Htr3a,Htr3b,Htr4,Htr5a,Htr5b,Htr6,Htr7,Adra1a,Adra1b,Adra1d,Adra2a,Adra2b,Adra2c,Adrb1,Adrb2,Adrb3,Drd1,Drd2,Drd3,Drd4,Drd5
L2/3 IT CTX Glut,0.17732007986571702,0.5564251464878646,-2.0127058118297003,-2.034838821842342,0.062245313500029084,0.2695777935023157,-0.6297067486167894,-2.7941106991165623,-0.4624179957752057,-3.206881284509873,0.16485187808289362,0.8521576722138277,0.2881749759381124,0.39703520615021526,-0.6096289417986662,-1.2258008452111149,0.06422949894707686,0.11844162559669595,-0.4080536768265244,1.1250803181894449,0.5501698336434117,0.24140516899748835,1.722608331340973,-2.458206073459239,-2.0731070496280615,-0.018232670591991733,1.633023355441621,-3.570822414233821
L2/3 IT RSP Glut,-1.1044773045846694,-1.964862344936451,-2.053086592251394,-2.5196541645014565,-1.8644994040586036,-0.9487090551468359,2.156623872062241,-3.805815635662644,-0.7058322025078552,1.2737509306483419,-0.869115028145405,-0.1540398327244598,-1.1336195035490404,1.773057471813384,-2.5505996432777898,-3.210557538866622,-1.046435282076516,-2.1713918376651806,-0.44925097044599227,0.1285445106643378,-0.1815333806444513,1.605846441003754,0.3022363208085572,-4.241363936290788,-2.7428807106265762,-0.1529542569240963,-1.6638956920743708,-4.367456292859991
L4/5 IT CTX Glut,0.632220715526794,0.16891130667520105,-1.3692699226511384,-0.24249244601509182,0.8649213033841687,-0.03245086598584909,0.16496770452957057,-2.8698507545537155,-0.3098019674300894,-2.0795421309536253,0.5425441727546471,0.9523217117325767,0.16734768015182616,0.4424713236086808,-0.9789284750291968,0.39482317616511775,1.427815814382071,-0.8596190536457018,-0.37618079101940005,0.16506401552352354,0.6474303537638169,-0.16636626010065977,1.2270219701835778,-2.6637728084511103,-2.6325790430488896,0.13471911190494543,-0.01267309573065081,-1.766175325190263
L5 IT CTX Glut,0.5102158230636632,0.418923443880616,-1.3157212799445281,-0.5026490672943403,0.8433545347747978,-0.09394681232021554,-0.43663446459650634,-2.8913128567544435,-0.4097931703399328,-3.324047690277055,0.37836996887706653,1.4012222220414619,-0.1472431065938879,0.14610715893208892,-0.8585702928135953,0.2267347663789804,1.1084138438255298,-1.5456943237261265,-0.4072041604147821,0.2763000242355575,0.5229711427428183,0.9835055839293144,-0.244982665075437,-0.7253233672638449,-0.3625282043930967,0.06595220845077832,-1.018629323110373,-1.187747123266674
L5 ET CTX Glut,0.49163487412596557,0.7796435574440076,-0.6353533008977204,0.6074637798552346,-0.967330395950468,-0.38885186327113935,-1.2840813518962686,-2.8703833089191333,-0.38081046648998934,2.4080573966212273,0.19808690685125147,-2.5859619555570545,0.4457876534000494,-1.222178801186023,0.8881534211502299,-1.0482062108977066,-0.25790182310695425,0.6725961258889502,2.682072718375995,0.24016779409180594,0.5395491223649267,-0.6155120012767129,-0.14076901949201118,-4.245570763983694,1.295269577032125,-0.1472778109571121,-1.447264964844923,-0.9479268236600313
L5 NP CTX Glut,-1.7918863005237156,-3.2126744348436453,2.0909340649220067,0.3902422826321382,-3.3180518539891866,-0.0944975826507998,2.3654904132069436,-3.2743695925361647,-0.40949466567456305,2.5443639286793793,-1.0751232414561676,1.3147469179954503,-0.623750026068885,-3.3492542370148395,0.009741874976485251,-1.0035223928732868,0.8797575689827711,-4.208669696393067,-0.3426600555480807,-3.150758476502261,-0.5413939447790166,2.5224749076811,-2.4198446495026933,0.20340052416152501,-2.9689623402316134,-0.06581345901858049,-1.6638956920743708,1.0359636227003346
L6 IT CTX Glut,-0.7747972263469558,0.8666816095961087,-1.9329864775962804,-0.19801760282395484,0.8230775421412454,-0.01626417061623474,-2.5568494334276664,-2.820194758423688,-0.4538010033109397,-3.6721963553173835,0.2853414054315128,-1.0255168481308048,0.9978265454597488,-3.2438018573786853,0.11924828140202808,0.43979930495745945,-1.1988058686237257,0.07048645358132351,-0.4101067362750482,0.3352579366219087,0.28125711406757514,-0.7349860537466637,-1.9365632882749964,1.336127411004201,1.0746934734194764,-0.20327689959700312,0.41677295303972606,-0.31433087050539615
L6 CT CTX Glut,-0.02279372800928831,-0.3053554531223691,-0.7866370939679899,0.8657881734958447,-2.6438730460388173,-0.0512100357529701,-1.720798785590347,-2.8129044724884333,-0.2350825368207257,-1.0652109591475267,-0.5586625492346847,-2.1110051138789334,-0.1742243728043707,-0.5380758772598857,0.1265296995372996,-0.46167895146789273,-1.8287786521920981,0.595508805752656,-0.408758152205176,-0.49317241702289655,-1.185316020020495,-1.5532215933292144,-2.082738539256094,0.5821719949871017,-2.851112594840316,-0.02593466345735974,-1.3032431444070365,1.3522777573220912
L6b CTX Glut,-0.056232663577910104,-3.669068217454491,3.526412703524262,0.5823914784785694,0.10522815139387684,-0.506259985388917,-2.941486502440914,-0.9401622724919896,-0.44200104629593434,-1.1569870762624552,-0.7536906394100068,-2.280075183632336,-0.7631630710241722,-2.9477016391885327,-2.339473016239504,0.04259536581220423,-2.6148146362763307,2.000222290703274,1.3888600997324652,-1.953608512255544,-2.7343971810982515,-1.5401698848620236,-1.842440161848848,1.7209813542888204,-2.1990943556403146,-0.28477235745177193,-1.4341911041048203,1.602564119463952
L4 RSP-ACA Glut,-0.6211206333116328,0.9603144387841932,-1.5332213992553314,-0.5094595735762556,-3.152377868019137,-0.7055332620815967,2.135173453203107,-3.315989426333076,-0.7058322025078552,-1.4022374614285555,0.7252134404718711,-2.0773319949562046,-0.9058153198743094,1.1800196369505136,-0.5714803046473815,0.6187148482570028,0.6788512677217713,1.0114368227660009,-0.44925097044599227,-3.5820543119815955,0.7651820807157462,0.16110293720011773,-1.9276790931770311,-4.75817988859902,-2.4310404708570483,-0.5093108739999364,-1.6638956920743708,-4.673532565969116
