subclass,Htr1a,Htr1b,Htr1d,Htr1f,Htr2a,Htr2b,Htr2c,Htr3a,Htr3b,Htr4,Htr5a,Htr5b,Htr6,Htr7,Adra1a,Adra1b,Adra1d,Adra2a,Adra2b,Adra2c,Adrb1,Adrb2,Adrb3,Drd1,Drd2,Drd3,Drd4,Drd5
L2/3 IT CTX Glut,0.17488179990217922,0.27123525895331774,0.0005977935981740123,0.18705505135590458,0.43600891255910007,0.026900711917830552,0.16814303570458128,0.005271452638443563,0.0003260692353676431,0.01298842454214445,0.1614586163795446,0.03717189283191131,0.04092168903863921,0.17716428454975272,0.353839465246454,0.16950165751861312,0.021411879789141896,0.13167762621596651,5.4344872561273845e-05,0.4975816531710233,0.714037280582577,0.008314765501874898,0.12754741590130972,0.03711754795935004,0.00423890005977936,0.0007608282158578338,0.017336014347046357,0.002065105157328406
L2/3 IT RSP Glut,0.05813953488372093,0.04238559639909977,0.00037509377344336085,0.11177794448612154,0.10652663165791448,0.008252063015753939,0.813953488372093,0.0015003750937734434,0.0,0.23668417104276068,0.06489122280570142,0.014253563390847712,0.011627906976744186,0.3705926481620405,0.08252063015753938,0.03488372093023256,0.006751687921980495,0.02213053263315829,0.0,0.21905476369092272,0.4051012753188297,0.020255063765941484,0.037509377344336084,0.007876969242310577,0.0015003750937734434,0.00037509377344336085,0.0,0.00037509377344336085
L4/5 IT CTX Glut,0.2365029755533673,0.2213041058355097,0.002012244723209316,0.5387250074924006,0.6976923406259365,0.02140685875754592,0.2889069657918397,0.004966391231750653,0.0005993920452112857,0.031339641221047224,0.20683306931540865,0.04045896305176178,0.03767607141328082,0.18020293702102153,0.27190991993834823,0.47266344136661387,0.05741319518773815,0.06747441880378473,8.562743503018367e-05,0.26651539153144665,0.7666652395427495,0.006165175322173224,0.08909534614890612,0.03228154300637925,0.0022263133107847752,0.001070342937877296,0.004067303163933725,0.013186624994648285
L5 IT CTX Glut,0.21491344873501997,0.25452729693741677,0.0019973368841544607,0.4637150466045273,0.6761651131824234,0.02030625832223702,0.18861517976031958,0.004793608521970706,0.00046604527296937416,0.011784287616511319,0.1840213049267643,0.05466045272969374,0.029826897470039946,0.14127829560585886,0.2890812250332889,0.42656458055925434,0.044274300932090546,0.040279627163781626,6.657789613848202e-05,0.28788282290279626,0.7088548601864181,0.014846870838881492,0.030958721704394142,0.1252330226364847,0.017177097203728363,0.0009986684420772304,0.0011318242343541945,0.020173102529960053
L5 ET CTX Glut,0.22049036777583186,0.3353765323992995,0.004728546409807356,0.8709281961471104,0.22469352014010507,0.016637478108581436,0.10017513134851139,0.005078809106830123,0.0005253940455341507,0.6143607705779335,0.16935201401050787,0.0017513134851138354,0.04781085814360771,0.06182136602451839,0.8492119089316987,0.19439579684763572,0.01733800350262697,0.187215411558669,0.015236427320490367,0.2901926444833625,0.7420315236427321,0.003852889667250438,0.03572679509632224,0.009807355516637478,0.060245183887915936,0.0005253940455341507,0.0003502626970227671,0.025569176882661998
L5 NP CTX Glut,0.03838491167485722,0.016735290211183425,0.036791074511887366,0.7247974498605393,0.040642847655731174,0.017532208792668348,0.888829857882853,0.002922034798778058,0.0003984592907424625,0.5951653606056582,0.060034533138531014,0.04542435914464072,0.018461947137734094,0.010758400850046488,0.4790808872360207,0.17319697170939036,0.03373621994952849,0.004250232434586267,0.00013281976358082084,0.023110638863062825,0.3449329260193917,0.04236950458228184,0.004914331252490371,0.21755877274538452,0.0011953778722273874,0.0006640988179041042,0.0,0.0854031079824678
L6 IT CTX Glut,0.08791316252689224,0.32803637786035594,0.0007823195775474281,0.5481615489927636,0.6759730099745747,0.021415998435360843,0.04659690983766869,0.00528065714844514,0.00039115978877371407,0.009045570115392138,0.17030119303735575,0.008898885194601995,0.06556815959319381,0.01285937805593585,0.5382847643262273,0.4838646587130843,0.007480930960297281,0.12238411891257579,4.889497359671426e-05,0.29684138470565224,0.6159788773714062,0.003422648151769998,0.008312145511441424,0.4913455896733816,0.0469880696264424,0.0004889497359671426,0.006258556620379425,0.03779581459026012
L6 CT CTX Glut,0.1423841059602649,0.14621682223496899,0.0038066433748761537,0.9351306252281378,0.0682849246493195,0.01971111226990666,0.07694112739218856,0.00503206966678834,0.0007039682953538092,0.058272931115398656,0.09211555509203734,0.0028680189810710746,0.026855086822756426,0.08922146321113834,0.52956666840486,0.2601553944829744,0.003702351775564478,0.1701517442769985,5.2145799655837725e-05,0.16454607081399594,0.23950565781926267,0.0010429159931167544,0.006700735255775147,0.29699640193982374,0.0014861552901913751,0.000756114095009647,0.0004953850967304584,0.11427751994576837
L6b CTX Glut,0.13323216995447648,0.012746585735963581,0.10288315629742033,0.8015174506828529,0.3981790591805766,0.013353566009104704,0.03338391502276176,0.023065250379362672,0.00030349013657056146,0.055235204855842185,0.07617602427921093,0.0021244309559939304,0.01669195751138088,0.01456752655538695,0.10166919575113809,0.3490136570561457,0.0012139605462822458,0.3981790591805766,0.004552352048558422,0.05796661608497724,0.08012139605462823,0.0009104704097116844,0.00819423368740516,0.5933232169954477,0.003338391502276176,0.00030349013657056146,0.00030349013657056146,0.13171471927162368
L4 RSP-ACA Glut,0.09481481481481481,0.3540740740740741,0.0014814814814814814,0.4622222222222222,0.04888888888888889,0.011851851851851851,0.917037037037037,0.002962962962962963,0.0,0.04888888888888889,0.21777777777777776,0.002962962962962963,0.014814814814814815,0.29185185185185186,0.36,0.5481481481481482,0.03111111111111111,0.23407407407407407,0.0,0.017777777777777778,0.8088888888888889,0.007407407407407408,0.008888888888888889,0.005925925925925926,0.002962962962962963,0.0,0.0,0.0
