roi,Htr1a,Htr1b,Htr1d,Htr1f,Htr2a,Htr2b,Htr2c,Htr3a,Htr3b,Htr4,Htr5a,Htr5b,Htr6,Htr7,Adra1a,Adra1b,Adra1d,Adra2a,Adra2b,Adra2c,Adrb1,Adrb2,Adrb3,Drd1,Drd2,Drd3,Drd4,Drd5
PL-ILA-ORB,-0.1337739355933731,0.08885819362752041,-0.16163749274865752,-0.10916885579526586,0.26747542135054264,0.16961391691557698,0.4552682196473229,-0.270660709669467,0.05662336575534906,0.4794646978276114,0.3134256130754244,-0.43017220183349625,0.22470956363327732,0.4245035168447828,0.28683860428398517,0.2564844560769207,0.11961418933566932,0.2935937622861604,-0.0412191485585566,0.2105210984341251,0.2766373536024715,-0.3270067585598422,0.37741833397990665,0.3539036177664958,0.021491851640799187,0.0023423647547883694,-0.2850023929195394,0.8887284523587092
ACA,-0.34651440270377104,-0.13051954326168547,-0.5973967485702254,0.19272387598639276,0.20135927207296314,0.029460220340237143,-0.15503089495596464,-0.1443966853185359,0.043037348516931244,0.21883438013221496,0.1806808750861236,0.4184572540486515,0.05785804228970819,0.15171182863442711,0.11379852402670133,0.4233105238946007,-0.09007274430333627,0.4186351635445893,-0.0412191485585566,0.17977819327117928,0.17772777730203565,-0.21746259232849516,-0.0020607871866826343,-0.3425403316729208,0.4137353604014728,-0.042676854800102,-0.0921568626980085,0.48582264128137786
MO-FRP,0.2551060498757727,0.6117244490321181,0.6262623039018725,0.3500955612699059,-0.24404771741645936,-0.4204665616200446,-0.5024700893614202,-0.24935234754863778,-0.31307929941479185,-0.41918605770084294,0.4901464591417551,0.10246500070371298,-0.12480141405488074,-0.577634129584263,0.002595059709582683,0.16707186606639357,-0.053861945962470854,-0.2856544733416506,-0.0412191485585566,0.4510065750762373,0.06488656097153261,-0.3059048906078042,-0.09679852337160771,0.2517576986724151,0.7557847491238333,-0.38241755465311683,0.10152155664303585,0.20124196145112927
MOp,0.2754230176878391,0.8110419827352275,-0.2844692532362185,0.4419908547876714,-0.17256121915102987,-0.10103849722503631,-0.21141046593339305,0.22114126451120403,-0.07629375701221269,-0.6498947440256261,0.17918723055217092,-0.05637519494014212,0.08697773110413441,-0.5068035289800801,0.11229835903183659,0.26311564774493645,-0.0279617124203899,-0.6477899044787196,0.03962949723323868,0.06523296002565841,-0.10475987183054455,-0.18335758218436404,-0.10739934499348235,0.15213230793561286,0.5279156089604113,0.22614955789865526,0.11271329882898246,-0.12783570284613366
SS-GU-VISC,0.13345680129137683,0.3778562413178411,0.3562513151918207,-0.10742497419434167,-0.08885574207169623,-0.02250582480496363,0.21275102160728263,-0.3221969500871905,-0.31307929941479185,-0.23225366928453095,0.030796396799997242,-0.42592235610362356,-0.32968295573988393,-0.20961701488952,0.08188470520592218,-0.32674916140998317,-0.11346965863765705,-0.21591106645003638,-0.0412191485585566,-0.008537173059247147,0.025849012666629267,0.2979032955815294,-0.22702754495115032,0.11060189068048665,-0.11786028055152203,-0.19592740580703186,-0.2850023929195394,-0.1578636270977792
SSp,0.24078646739918277,0.77653041443278,-2.896395503254383,0.2113455935831176,-0.18821028582244134,-0.06394103187151925,0.17222718186042807,-1.1232101304665594,-0.31307929941479185,-0.8919588000378222,-0.714721652037609,-0.20565646687642394,-0.31779273274866116,-0.41201107739516285,-0.05688394104645958,0.4641478359966828,-0.06783349530358725,-0.32514935743608686,-0.0412191485585566,0.2194786555197448,0.1518293361788815,0.5949693424776864,-0.01337751510854871,0.6663113363496844,-0.5829655857945506,0.9453571404733769,0.4159875968445152,0.26524169849310353
VIS,-0.18531703052887996,-1.1639395147766267,-1.0740983150351755,-0.20243986398107938,-0.24287759092406624,-0.17989282586994543,-0.42438403163692,0.01282273936859705,0.15213404262535354,0.1186488259280599,-0.5627757387582917,0.11968752751985859,-0.0010735838404016108,-0.24720013907585411,-0.3112900210373121,-0.3329635129772412,0.11984734491679414,-0.3126258404982651,0.07592116045142978,-0.4745898413091694,-0.2181833722059538,0.03910145104477475,0.08715823440344136,-0.2609424990842337,-0.9715087587234154,-0.1548658786257703,0.029696810863364988,-0.6084371101506719
VIS-PTLp,0.3994697491720665,-0.6779359920501269,-0.5718098158779846,0.15360933403292543,0.18416117551425001,0.8757947962469299,-0.39983503306004664,-0.41422223937954433,0.19822716202201088,0.328134113908228,0.43812750227073854,0.20027621137438117,-0.18742777704108382,0.3312876311961821,-0.029797867188157127,-0.108410742769691,-0.023168649195844736,-0.03833630565813862,-0.0412191485585566,0.004662094457479992,0.23058265681699805,0.5028826515337022,-0.3704470173916311,0.1152948873000201,-0.34642175026103206,-0.03235568573063406,0.08406782175383784,-0.6548691096706264
AUD,0.1160805415529099,-0.702233344749009,-0.08303934458896657,-0.4581287881928876,0.12741281021899034,-0.22070020618672595,-0.15901423276415932,-0.46449327847024174,-0.31307929941479185,-0.9890156499414692,-0.8781691927471353,0.003271325237064752,-0.48920693916755903,-0.08552092100733495,-0.20167564869401988,-0.6967083342385261,-1.3184138579442182,-0.19675363147294772,-0.0412191485585566,-0.16922999808215242,-0.22360684906904457,-0.24035176224676377,-0.012053592840033763,-0.05646765620356272,-0.6694119341484238,0.14798745106262373,-0.2850023929195394,-0.7436643305279765
AUD-TEa-PERI-ECT,0.4083301121353644,-0.09187653874643088,1.5872051690155726,0.10946420546447803,0.8618134357059386,0.5070756742764679,0.2940752582760367,-0.6625110642750137,-0.31307929941479185,0.7958978437063743,1.5484182049542932,1.2363288523349312,-0.7156929135831214,1.309774029602699,0.5086791232177273,0.25695116689525377,1.249184118618179,0.879911368000078,-0.0412191485585566,0.530599662234704,0.7463127669314803,1.575853880288785,1.1158595636419606,0.7449608447208925,0.20441081303319333,-0.2444602008837766,-0.2850023929195394,0.9512720988183772
