roi,Htr1a,Htr1b,Htr1d,Htr1f,Htr2a,Htr2b,Htr2c,Htr3a,Htr3b,Htr4,Htr5a,Htr5b,Htr6,Htr7,Adra1a,Adra1b,Adra1d,Adra2a,Adra2b,Adra2c,Adrb1,Adrb2,Adrb3,Drd1,Drd2,Drd3,Drd4,Drd5
PL-ILA-ORB,0.23419286471211587,0.0787707523843165,0.024902861179795125,0.35446838572942424,0.2862945955492759,0.028965030024726245,0.11956905687036383,0.003355704697986577,0.0005298481102084069,0.06464146944542565,0.1040268456375839,0.0005298481102084069,0.008300953726598375,0.20151889791593078,0.542917696926881,0.18897915930766512,0.005828329212292476,0.07859413634758036,0.0,0.16160367361356412,0.34864005651713176,0.00035323207347227127,0.018721299894030378,0.11903920876015542,0.10490992582126457,0.001412928293889085,0.0,0.02507947721653126
ACA,0.20507084265473527,0.06835694755157842,0.018145662440964456,0.43151876708923687,0.2746706437981606,0.027591349739000747,0.08053691275167785,0.0037285607755406414,0.0004971414367387521,0.05344270444941586,0.09818543375590355,0.002734277902063137,0.00695998011434253,0.1715137956748695,0.4862043251304996,0.21327367636092467,0.004971414367387522,0.08625403927417351,0.0,0.1600795426298782,0.3315933383047477,0.0004971414367387521,0.01466567238379319,0.07581406910265971,0.13745960725826498,0.0014914243102162564,0.00024857071836937607,0.018891374596072583
MO-FRP,0.3016659162539397,0.11481314723097703,0.044574515983791085,0.47276001800990547,0.20621341737955876,0.01981089599279604,0.059882935614588025,0.0036019810895992796,0.0,0.035119315623592974,0.12291760468257541,0.0018009905447996398,0.00675371454299865,0.10760918505177848,0.45024763619990993,0.1814497973885637,0.005402971634398919,0.054930211616389016,0.0,0.1945069788383611,0.31022062134173795,0.00045024763619990995,0.0135074290859973,0.11436289959477713,0.17334533993696533,0.0009004952723998199,0.00045024763619990995,0.014407924358397118
MOp,0.29418461246561045,0.12427663409543686,0.021155488094108717,0.4972014040413623,0.20671663030073048,0.023147708946020303,0.07285836258419505,0.005122853619201215,0.0002846029788445119,0.028270562565221515,0.08917560003794707,0.0011384119153780476,0.00702020681149796,0.10463902855516555,0.477563798501091,0.1853714068873921,0.004743382980741865,0.039654681719001994,9.48676596148373e-05,0.1411630775068779,0.2649653733042406,0.0004743382980741865,0.012617398728773361,0.10179299876672042,0.14315529835878948,0.002181956171141258,0.0005692059576890238,0.011478986813395313
SS-GU-VISC,0.2620164126611958,0.09349355216881594,0.033704572098475966,0.34232121922626024,0.21629542790152403,0.024912075029308322,0.0984759671746776,0.0029308323563892145,0.0,0.03751465416178194,0.08528722157092614,0.0005861664712778429,0.004982415005861665,0.12661195779601406,0.45926143024618993,0.1228018757327081,0.004689331770222743,0.05246189917936694,0.0,0.13569753810082064,0.28634232121922626,0.0014654161781946073,0.011723329425556858,0.09759671746776084,0.09085580304806565,0.0011723329425556857,0.0,0.011137162954279016
SSp,0.2728989612842304,0.11520302171860246,0.0018885741265344666,0.41076487252124644,0.1964117091595845,0.021718602455146365,0.09348441926345609,0.0009442870632672333,0.0,0.0226628895184136,0.044381491973559964,0.0009442870632672333,0.004721435316336166,0.10764872521246459,0.40509915014164305,0.20018885741265344,0.003777148253068933,0.047214353163361665,0.0,0.14636449480642116,0.29461756373937675,0.0018885741265344666,0.012275731822474031,0.13503305004721436,0.06421152030217187,0.003777148253068933,0.0009442870632672333,0.014164305949008499
VIS,0.2101962700545647,0.02988842739636778,0.011401579933219318,0.31248473002687516,0.19097646388142356,0.021092922876455738,0.06352308819936477,0.004071992833292614,0.0006515188533268182,0.046909357439530903,0.050574150989494256,0.0014659174199853407,0.006026549393273068,0.12305562342210277,0.3580910497597524,0.12158970600211744,0.004967831256616989,0.047560876292857726,0.00016287971333170455,0.09202703803241306,0.23397670820099356,0.0008143985666585227,0.013844775633194886,0.07435458913592312,0.04910823356950892,0.0011401579933219318,0.0004071992833292613,0.007329587099926704
VIS-PTLp,0.3287577213452299,0.04461221688400824,0.019217570350034317,0.4166094715168154,0.2772820864790666,0.04941660947151681,0.06726149622512011,0.002745367192862045,0.0006863417982155113,0.060398078242964996,0.11805078929306795,0.002059025394646534,0.00549073438572409,0.19629375428963625,0.4413177762525738,0.15442690459849004,0.00549073438572409,0.06588881262868909,0.0,0.14344543582704186,0.3438572409059712,0.002059025394646534,0.01098146877144818,0.10638297872340426,0.08030199039121483,0.0013726835964310226,0.0006863417982155113,0.0075497597803706245
AUD,0.2420929324482624,0.039437719640765326,0.02225693088637251,0.2573213588442015,0.2327215931276845,0.018352206169465052,0.07184693479109723,0.0023428348301444747,0.0,0.019914096056228035,0.036704412338930105,0.0011714174150722373,0.003514252245216712,0.1288559156579461,0.3674345958609918,0.08746583365872707,0.0007809449433814916,0.04802811401796173,0.0,0.10698945724326435,0.2198360015618899,0.0003904724716907458,0.01210464662241312,0.08004685669660289,0.057008980866848885,0.0015618898867629833,0.0,0.005857087075361187
AUD-TEa-PERI-ECT,0.36813922356091033,0.07898259705488621,0.09236947791164658,0.4497991967871486,0.4685408299866131,0.04417670682730924,0.12717536813922356,0.002677376171352075,0.0,0.0856760374832664,0.2677376171352075,0.006693440428380187,0.004016064257028112,0.38420348058902276,0.6452476572958501,0.21151271753681392,0.01740294511378849,0.13253012048192772,0.0,0.22623828647925034,0.535475234270415,0.006693440428380187,0.03748326639892905,0.17670682730923695,0.13119143239625167,0.0013386880856760374,0.0,0.029451137884872823
