roi,Htr1a,Htr1b,Htr1d,Htr1f,Htr2a,Htr2b,Htr2c,Htr3a,Htr3b,Htr4,Htr5a,Htr5b,Htr6,Htr7,Adra1a,Adra1b,Adra1d,Adra2a,Adra2b,Adra2c,Adrb1,Adrb2,Adrb3,Drd1,Drd2,Drd3,Drd4,Drd5
PL-ILA-ORB,1.4159454300600494,0.4562623748851996,0.141541152808195,2.3104733522077003,1.8148541692158249,0.16426879298834335,0.8390021251148003,0.019457822518544683,0.002920865083009537,0.37742426610738256,0.5585808690038855,0.0027204306075591664,0.04487262377251854,1.2538189972624514,3.8369118203461676,1.154818334528435,0.0298981543270929,0.4522324523489933,0.0,0.9349730752914165,2.077314448251501,0.0016300485340868952,0.1056196673260332,0.7019184725715295,0.6213545066584246,0.0087853884669728,0.0,0.1411305938184387
ACA,1.2204434076559783,0.39048946122296796,0.10203506741237882,2.8505882681829484,1.7331117082028338,0.148135420059657,0.5461480739249317,0.022152141163310962,0.002799759010688541,0.3133920025354213,0.5085995015659955,0.012906816380810341,0.038879686751180705,1.036083612105394,3.4021017762117824,1.2976088413870246,0.024500925801640566,0.4940825291076311,0.0,0.9150493406164554,1.9390057929405917,0.00254751163310962,0.07887858202833706,0.42931875371613226,0.8186103364653243,0.008208243176733781,0.001430159458115834,0.1043051121799652
MO-FRP,1.8570994285457,0.6599290308419631,0.25164477059882934,3.180281099279604,1.2701013508329582,0.10576777843313823,0.4271201415578568,0.01989613854119766,0.0,0.19780978162989646,0.6326736862674471,0.008401006888788833,0.033066783656010804,0.6209738893741558,3.148976523998199,1.0848190014858172,0.025377837730751914,0.29937793705538046,0.0,1.1063818740207114,1.792372444574516,0.001801407924358397,0.07322967847816299,0.6532561358847366,1.0403099326879783,0.004387850067537146,0.0030723992345790185,0.08384223300315173
MOp,1.8835791490465799,0.7591824281851817,0.12917285689213548,3.3901039184991935,1.3351290008348355,0.13445917429086424,0.5248333687695664,0.031423595038421404,0.0017836423014894224,0.16709885410302627,0.5080628653068969,0.006482607788634855,0.039876309799829236,0.6527252585902665,3.398555596935774,1.1601846193055687,0.026018699895645574,0.2306997903329855,0.0005764,0.8444434931600417,1.5924182191917275,0.0028476660089175603,0.07262035403661891,0.6090005650412674,0.886854571748411,0.011937789185086804,0.0031742030547386394,0.0647026632957025
SS-GU-VISC,1.7061188957796012,0.5596753822977726,0.20698546957796016,2.3132799588511137,1.4154821898007035,0.1425407292203986,0.7076353545720985,0.018424097684642437,0.0,0.22655832807737397,0.4574254676143025,0.002757957297772567,0.02736516884525205,0.8043208943141853,3.3274514758499416,0.7674767034876906,0.023945919431418522,0.3147014265826495,0.0,0.8018509888628371,1.7442563857268465,0.007934868552168815,0.06604582488276671,0.5914356179660024,0.5632236670574443,0.006373255246189918,0.0,0.06316388856975381
SSp,1.8386590542020775,0.7410006917847026,0.012765982341831917,2.8877508957507083,1.3206170917847024,0.13822196893295563,0.6877581774315392,0.006313896128423041,0.0,0.1397432343720491,0.2687976290840416,0.004862360245514637,0.027674392917847023,0.6977321009442871,3.0213873579792256,1.3351512027384325,0.025036880358829085,0.2910233568460812,0.0,0.9408585761095373,1.9043305156751653,0.01203555476864967,0.07818413163361662,0.8740449673276677,0.40525365627950893,0.026115689801699718,0.006256199244570349,0.08809890821529745
VIS,1.365900055085919,0.18565938435540352,0.07051049732062872,2.165200098542227,1.2711400236419903,0.12677527919211662,0.45143131434155875,0.025854004006840948,0.003805214862773842,0.2916966019464126,0.2997628659581399,0.008621989828161902,0.03692326537177295,0.7833812464125742,2.5313095818959197,0.7641349558677417,0.02990460283410701,0.2936478068490919,0.0008458288459972312,0.5777335618372832,1.4712623978907078,0.004989635760241062,0.084548516483427,0.45488243593126476,0.3072125165974428,0.006845960713413144,0.002437523088199365,0.04353781540842089
VIS-PTLp,2.053598719903912,0.26403265662319836,0.10403979135209333,2.774073540082361,1.712455763417982,0.2743159671242279,0.45935024495538773,0.0166676234728895,0.004253403568977351,0.33884441475634863,0.6099137253946465,0.009691812697323268,0.03123728126286891,1.174742864172958,3.0788381728894993,0.8945108854495538,0.026138563761153054,0.3572311614275909,0.0,0.8093127238160603,2.0117340899107754,0.010672982292381606,0.0588496619080302,0.593395235895676,0.47923808194921075,0.008338973644474949,0.0029152020590253944,0.04184217590940288
AUD,1.6855734120265522,0.25945614303006637,0.15002616106989458,1.8119194764545101,1.6460182435767279,0.12296072190550565,0.5446146450995705,0.015754387387739162,0.0,0.13000069328387348,0.2389352874267864,0.007178344826239751,0.023453799140960564,0.877467024326435,2.7319200542756734,0.5916148898086685,0.004725268723155017,0.3190418659117532,0.0,0.716278124795002,1.4657043895743849,0.002350009176103085,0.0782650929714955,0.5256686119094104,0.3811024361967981,0.010780869738383445,0.0,0.038747595236235846
AUD-TEa-PERI-ECT,2.0663113825970547,0.40136164471218205,0.4993129109772423,2.69017365060241,2.7451277052208836,0.21019412864792503,0.7492501053547523,0.012451322623828648,0.0,0.47243930990629185,1.3283264385542168,0.03038021419009371,0.018593437751004017,2.3244138856760377,4.476347211780455,1.1551952133868808,0.07729457135207497,0.6840002380187417,0.0,1.1697029982597056,2.880508607095047,0.033491026372155286,0.1828966456492637,0.9235771582329316,0.7066999579651941,0.0058316144578313255,0.0,0.14782649156626507
TEa-PERI-ECT,1.1718396445960697,0.2012807428220524,0.25597982011462883,1.588959839574236,1.5611732849617903,0.16012135158296945,0.6564499689956332,0.039406838537117905,0.001610573062227074,0.26755197830240174,0.25735894230349343,0.0050955093886462886,0.038195291266375546,1.229045688209607,3.04308504194869,0.6556155335425764,0.006793503766375546,0.43494062933951966,0.0,0.5950879923853711,1.4788435740174672,0.005030022325327511,0.06571723168668123,0.3695202741812227,0.38240997527292575,0.005890265256550218,0.0038726099072052406,0.04728433004912664
