area,Htr1b,Htr1d,Htr2a,Htr3a,Htr7,Adra1a,Adra1b,Drd1,Drd2,Drd3,Drd5
ILA,0.1585475259744235,0.15754108943999318,0.05588780421648894,-0.1446461503508146,0.21402424618829974,0.400381951084382,-0.052675568255225506,0.27335886787348285,-0.14681001059445506,-0.33155853722653617,1.1660560905564072
PL,0.360684533098715,-0.14641768347435813,-0.010583164341143236,0.06197213593320876,-0.071841581514246,0.2774706406983719,0.42593579751792326,0.11151571338116342,0.3542585477086378,-0.2557357080585316,0.7967677728431931
ACAd,0.2845071010515347,0.046492758627336817,0.11969453743758111,0.18881733073060192,-0.25157277502304864,0.18826960085086078,0.5187549296100454,-0.2051469408802606,0.30558069961053347,-0.19770629987781693,0.2707729029517203
ACAv,-0.20743371300316915,-0.03332473527334189,0.09976410539050537,0.017455761400953326,0.011951471462865989,0.1613804584898941,0.128230232728722,-0.3233159718310408,0.4282695896295298,-0.25068140263036304,0.1995329342517747
ORBl,0.1985135851673187,-0.16983203901747224,0.19932970978327885,-0.2259482561437899,0.14560559440493606,-0.362394043328938,0.13871767330111057,0.1917265199608302,0.11868551674800044,-0.12030754059135446,0.16726684322960036
ORBm,-0.05272660210932635,0.1108382509952882,0.17237541942902074,0.3019694251309726,0.12616291548392367,0.06008926185191759,0.09222903138014983,0.04610962663995216,-0.409789185858043,-0.5136229335431473,0.6813088006114099
ORBvl,-0.4541715311882974,-0.1817936497711288,0.22875871648862747,0.20589472687554464,0.3853619612717166,-0.11900391669376764,0.18336573852548818,0.03171955251278907,0.04874725923226223,-0.12801962725930152,0.26555437925993564
MOp,0.4735200209785759,-0.10262830795691028,0.03777524103569712,0.022231295829713858,-0.29295371781978735,0.15269073417688295,0.37552776313038627,0.09465099296838536,0.37864941773409727,0.061189492200767324,0.053492274129140725
MOs,0.39487215132751297,0.00352893249034837,0.1004853592317971,0.1653556683382553,-0.33393872514565826,0.006858809728798828,0.5202522721524001,-0.036172471230626405,0.5238092941749771,-0.08329641186622515,0.43068588024853244
SSp-bfd,-0.06886361162641148,-0.19448170656269617,-0.2976294919602301,0.04966658688073534,-0.190373692102952,-0.10856125315204587,-0.4469703682126991,0.20084010402434418,-0.5668692218752275,0.23862646150462635,-0.4106968533727634
SSp-ll,0.10642828547718974,-0.15957535024682443,0.050341598698335016,0.30296260408596254,0.13490481028578313,0.13017402786693566,0.06365517715961223,0.016011654012977678,0.0536688102223301,0.5785769029314844,-0.18816466978793778
SSp-m,0.14723372692736988,0.09261720610504384,-0.012982534547051392,0.03277722690680475,-0.3579354511317913,-0.15106460824048645,0.1749466451128049,0.5450012267813622,-0.22711614638205826,0.19371137758211787,-0.1244472830069284
SSp-n,-0.05127293581062896,-0.23081022933189657,-0.4521797064526794,-0.47073060286027935,-0.30915213166706657,-0.23923200558353097,-0.4294684948312053,0.3778977502645511,-0.718703735253641,0.07612107654312224,-0.48658081721501945
SSp-tr,-0.08937485804444119,-0.02107933844830636,-0.017565413148746472,0.4461649454251196,-0.027170625279496582,0.20460136252907818,0.1099856546797378,0.009838332053965004,-0.07475990536069194,0.8477894067038703,0.04452967743532043
SSp-ul,0.20254096997280904,0.09641613869690299,-0.09798755465351736,0.08164704548026495,-0.2808827938911972,-0.03168114413319712,0.13253945813531548,0.20159693785805033,-0.11438524429325257,0.1420934039684183,-0.23047064376414678
SSp-un,0.10313131148853452,0.046242696322345206,-0.07370855199833132,-0.07248787965888528,0.0023642086705276903,0.1560318576140659,0.020914370500359193,0.14267149035062163,-0.30571567175557013,0.10226526101035752,-0.3045720501670558
SSs,-0.007449792333428634,-0.03333023423814006,-0.009070517248111778,-0.12728633993620275,-0.0407971506635401,-0.07120670964610136,-0.29994812513934954,0.12664799781397512,-0.3256716184033452,0.098528441432322,-0.12145955801409176
