area,Htr1b,Htr1d,Htr2a,Htr3a,Htr7,Adra1a,Adra1b,Drd1,Drd2,Drd3,Drd5
ILA,0.36681222707423583,0.14847161572052403,0.6681222707423581,0.1091703056768559,0.37554585152838427,0.4890829694323144,0.5589519650655022,0.6200873362445415,0.3056768558951965,0.14847161572052403,0.3930131004366812
PL,0.3834710743801653,0.12892561983471074,0.6578512396694215,0.12231404958677686,0.30413223140495865,0.4644628099173554,0.6975206611570248,0.5537190082644629,0.3834710743801653,0.16198347107438016,0.2975206611570248
ACAd,0.36710963455149503,0.14950166112956811,0.6810631229235881,0.12624584717607973,0.2757475083056478,0.42524916943521596,0.7026578073089701,0.43521594684385384,0.37375415282392027,0.17109634551495018,0.2009966777408638
ACAv,0.2654494382022472,0.13202247191011235,0.6362359550561798,0.12078651685393259,0.30758426966292135,0.4002808988764045,0.5716292134831461,0.4199438202247191,0.3946629213483146,0.15730337078651685,0.1952247191011236
ORBl,0.35678391959798994,0.1423785594639866,0.7185929648241206,0.10552763819095477,0.3601340033500838,0.3165829145728643,0.6331658291457286,0.5812395309882747,0.3685092127303183,0.18090452261306533,0.21105527638190955
ORBm,0.32098765432098764,0.15123456790123457,0.6944444444444444,0.14506172839506173,0.33024691358024694,0.41358024691358025,0.6234567901234568,0.5216049382716049,0.26851851851851855,0.15123456790123457,0.27469135802469136
ORBvl,0.26635514018691586,0.1378504672897196,0.7383177570093458,0.1378504672897196,0.4088785046728972,0.3808411214953271,0.6705607476635514,0.5373831775700935,0.3574766355140187,0.1822429906542056,0.21495327102803738
MOp,0.3863439930855661,0.13526361279170268,0.641313742437338,0.11711322385479689,0.2605877268798617,0.3893690579083838,0.6698357821953328,0.4978392394122731,0.3651685393258427,0.1905790838375108,0.1797752808988764
MOs,0.38144742103158735,0.1479408236705318,0.686125549780088,0.13554578168732506,0.2614954018392643,0.38464614154338267,0.7181127548980408,0.4974010395841663,0.40823670531787287,0.18072770891643342,0.22830867652938824
SSp-bfd,0.31867283950617287,0.13194444444444445,0.5671296296296297,0.13040123456790123,0.2808641975308642,0.3541666666666667,0.47685185185185186,0.5763888888888888,0.24691358024691357,0.21682098765432098,0.13348765432098766
SSp-ll,0.3069306930693069,0.13267326732673268,0.6336633663366337,0.14257425742574256,0.33663366336633666,0.4316831683168317,0.6178217821782178,0.504950495049505,0.3108910891089109,0.2712871287128713,0.15247524752475247
SSp-m,0.32067202337472606,0.15047479912344777,0.623082542001461,0.1183345507669832,0.2527392257121987,0.3294375456537619,0.6048210372534697,0.6267348429510592,0.25931336742147554,0.20818115412710006,0.15120525931336742
SSp-n,0.2878228782287823,0.12915129151291513,0.5313653136531366,0.08671586715867159,0.25276752767527677,0.3210332103321033,0.488929889298893,0.6088560885608856,0.22509225092250923,0.2066420664206642,0.13837638376383765
SSp-tr,0.3080168776371308,0.15611814345991562,0.6751054852320675,0.17721518987341772,0.31645569620253167,0.4345991561181435,0.620253164556962,0.4767932489451477,0.29535864978902954,0.3206751054852321,0.189873417721519
SSp-ul,0.3559556786703601,0.1634349030470914,0.6357340720221607,0.13434903047091412,0.26038781163434904,0.3739612188365651,0.628808864265928,0.5623268698060941,0.29916897506925205,0.20083102493074792,0.1592797783933518
SSp-un,0.3191489361702128,0.15319148936170213,0.6085106382978723,0.1276595744680851,0.3191489361702128,0.39148936170212767,0.6127659574468085,0.5361702127659574,0.2851063829787234,0.19148936170212766,0.15319148936170213
SSs,0.3080593849416755,0.14581124072110285,0.6336161187698833,0.11134676564156946,0.2963944856839873,0.36320254506892896,0.5047720042417816,0.5381760339342524,0.2804878048780488,0.19830328738069988,0.17073170731707318
VISa,0.3211267605633803,0.1352112676056338,0.5887323943661972,0.09295774647887324,0.24507042253521127,0.37183098591549296,0.5492957746478874,0.43661971830985913,0.28732394366197184,0.2028169014084507,0.15492957746478872
VISal,0.25925925925925924,0.10185185185185185,0.49074074074074076,0.06481481481481481,0.35185185185185186,0.3333333333333333,0.5833333333333334,0.42592592592592593,0.12962962962962962,0.2037037037037037,0.18518518518518517
VISam,0.23963133640552994,0.14285714285714285,0.543778801843318,0.10599078341013825,0.3456221198156682,0.4055299539170507,0.511520737327189,0.37327188940092165,0.2995391705069124,0.17050691244239632,0.12442396313364056
VISl,0.2750809061488673,0.09061488673139159,0.6084142394822006,0.11974110032362459,0.3106796116504854,0.3559870550161812,0.5307443365695793,0.5080906148867314,0.18446601941747573,0.18446601941747573,0.13592233009708737
VISli,0.25925925925925924,0.14814814814814814,0.674074074074074,0.0962962962962963,0.4222222222222222,0.35555555555555557,0.5851851851851851,0.5481481481481482,0.2518518518518518,0.16296296296296298,0.1259259259259259
VISp,0.2202020202020202,0.10235690235690235,0.5764309764309764,0.09696969696969697,0.32255892255892255,0.3367003367003367,0.4922558922558923,0.5178451178451179,0.18855218855218855,0.1744107744107744,0.12390572390572391
VISpm,0.25149700598802394,0.11976047904191617,0.5748502994011976,0.10179640718562874,0.32934131736526945,0.33532934131736525,0.5568862275449101,0.4550898203592814,0.25748502994011974,0.23952095808383234,0.1377245508982036
VISrl,0.24581005586592178,0.1564245810055866,0.6312849162011173,0.1005586592178771,0.3687150837988827,0.3463687150837989,0.39106145251396646,0.5027932960893855,0.24581005586592178,0.1564245810055866,0.07262569832402235
AUDd,0.29596412556053814,0.15246636771300448,0.6547085201793722,0.13452914798206278,0.38565022421524664,0.3901345291479821,0.4349775784753363,0.4663677130044843,0.2825112107623318,0.13452914798206278,0.12556053811659193
AUDp,0.2297650130548303,0.1174934725848564,0.5613577023498695,0.0835509138381201,0.360313315926893,0.3133159268929504,0.3629242819843342,0.5613577023498695,0.2193211488250653,0.17232375979112272,0.1279373368146214
AUDpo,0.23214285714285715,0.11607142857142858,0.6428571428571429,0.11607142857142858,0.36607142857142855,0.2767857142857143,0.4642857142857143,0.4375,0.2857142857142857,0.23214285714285715,0.125
AUDv,0.2620192307692308,0.16105769230769232,0.6538461538461539,0.12980769230769232,0.41586538461538464,0.3629807692307692,0.3798076923076923,0.4567307692307692,0.27403846153846156,0.18509615384615385,0.16105769230769232
