area,Htr1b,Htr1d,Htr2a,Htr3a,Htr7,Adra1a,Adra1b,Drd1,Drd2,Drd3,Drd5
ILA,0.4118264801894397,0.16059914609927245,1.0490177198162298,0.09903898801129395,0.4070923617726396,0.611436152175535,0.7873876290945279,0.8603667158467949,0.40220409160521303,0.13634534162972878,0.4049585092859335
PL,0.4752696625426158,0.12818984985634985,1.00133135351826,0.11582881713271859,0.33211967263638337,0.5606850866969945,1.1010813836243927,0.7680054342689344,0.5733765452773537,0.1442424264747761,0.3112460631575041
ACAd,0.45031110192424134,0.14796030896029388,1.0969065759973269,0.1273929101222653,0.2920463328997397,0.5264686340469373,1.1749150452838606,0.6146801027385835,0.5540212566926658,0.15057297035723405,0.21309897795423474
ACAv,0.31731243752143645,0.13945846400715114,1.0817201084483108,0.11200548339026914,0.3525786855281943,0.5165624632111336,0.8939149432799055,0.5655529048608241,0.6040850264757521,0.14478374359552418,0.20234997454148965
ORBl,0.42367543397510016,0.12596518615116636,1.1597243836048328,0.09306410580120492,0.3877737963185582,0.35625036024312484,0.9005097491123418,0.8124859525331615,0.48548945444904024,0.1594227744439535,0.1976534505016681
ORBm,0.35436276514151893,0.15516495288496143,1.1380729729070447,0.13860263040773402,0.38244910290112344,0.48086063860724526,0.8716376425345045,0.7335213376849197,0.3335165602342278,0.11899475689411522,0.28653857771128266
ORBvl,0.2658589151816502,0.12484253793506156,1.1838301889124045,0.1290289141785492,0.45968860964795094,0.42355658747806835,0.9291284713653499,0.7261419928212329,0.46204228332435604,0.1585195225428075,0.21229344099380143
MOp,0.5147470526221967,0.1324485590611118,1.035805212488448,0.11241000877467262,0.2835057828018793,0.5134003742893516,1.0629303752890131,0.7589637087971091,0.5833232237882362,0.1821355997710923,0.18190645985518375
MOs,0.4869064568815076,0.14332556514037723,1.0822660340657015,0.1251766434373208,0.2752850054494132,0.46307962653070794,1.176145481855161,0.6923022453584197,0.6461283826130451,0.1638254047588417,0.23925058345099526
SSp-bfd,0.3503099582824355,0.12366183905934072,0.8188652203617819,0.11476011735808414,0.30513477283193735,0.42670618645961894,0.5967013086085229,0.8176980869505506,0.2980788438379985,0.20728096954658154,0.12910884441980594
SSp-ll,0.3968594281846819,0.1269352605878282,1.0449543146644376,0.13870496653158845,0.3848343360062403,0.5052948771080918,0.8543478128535459,0.7181704384844066,0.4636553388986107,0.2650153726265642,0.15230937491340862
SSp-m,0.40853140008241823,0.1530920594175995,0.9996507893362574,0.11330808997743078,0.2705790312859779,0.41402802342468276,0.9236639866842311,1.0406904206097245,0.37988609137569335,0.2006206278215275,0.15963851024730402
SSp-n,0.3547300837998004,0.12033812144756724,0.7346628126834729,0.07698024183953912,0.2802287650740655,0.38889034842556885,0.6041062544732996,0.9257753779856578,0.2673033606800596,0.18413448822297226,0.12198099362071337
SSp-tr,0.3452235620829448,0.14073244590977665,0.9964486118928757,0.15422288363835487,0.3428786193295854,0.5325761319122719,0.882555850099481,0.7150612390059053,0.4233128229341711,0.32143472575657234,0.180717955979456
SSp-ul,0.4248877608503798,0.15352208251903413,0.9418798386278711,0.11755657569512785,0.28597182644481595,0.450609152302984,0.8966189078910083,0.8181324089929624,0.4115733273854838,0.1932180803603314,0.14761888030490658
SSp-un,0.3959306987358082,0.14793293207552335,0.9580345019323566,0.10463140516702531,0.3501771991072468,0.5146139168074326,0.8291165224313349,0.7849896121095061,0.3592129521440512,0.1876846184949982,0.13972747198962443
SSs,0.3659790681121296,0.13945789433355918,1.0023922774489193,0.1003589693247243,0.3395613055395525,0.4381611256784963,0.6617892297632922,0.7762088026414904,0.35414100736927345,0.18717324508328867,0.1599901842835759
VISa,0.3596114706521625,0.12153474271807913,0.8514042452826612,0.09085821727260303,0.25948551416228854,0.47455785194713446,0.7420534947607584,0.6030638618496098,0.41973357423374064,0.18766823606630972,0.14698819950045372
VISal,0.25162137888318314,0.08747468487612375,0.7610643043556904,0.06279449508750766,0.40766609956546246,0.4263552280502284,0.7615792869935013,0.6240574857153895,0.1435087172855194,0.1924917660258055,0.16075612458634428
VISam,0.28711296180247325,0.13501911042087988,0.8117425264208449,0.11313108449539425,0.4002603138448317,0.5062800658836215,0.685750604241645,0.4729283660552408,0.4613283177670997,0.1538130209232432,0.12272370762681947
VISl,0.2806419219335624,0.07948913733599909,0.9355246979524804,0.1093732344619536,0.34363667232908046,0.3927347724124156,0.6881338924441764,0.6586233593519423,0.24005975132936197,0.16946476415218456,0.1201850138556749
VISli,0.245429132248683,0.12601189204734423,1.0343378711790703,0.07785110701940025,0.4776542122788032,0.39306607336772864,0.7983653339854058,0.6587929678179761,0.3205475960684026,0.1446646382499367,0.13921736430340634
VISp,0.22337617581898586,0.09412358031763778,0.8576143026237959,0.08877281254135633,0.35581764240290664,0.38664138571946066,0.6498172501699325,0.7336885308993879,0.22539533301506878,0.1617870455649127,0.11440578511615629
VISpm,0.24440561751993797,0.11238372170170582,0.8082844102881405,0.09426245721107404,0.40721979820616083,0.39936442520426785,0.7891474620664607,0.5891309443733956,0.31899509743838184,0.20957493984432765,0.12796337369704316
VISrl,0.260223412671542,0.13109662438230615,0.9660462587812074,0.08270041739210393,0.41959561748279106,0.3888743467790076,0.4926127259568734,0.6340149783469907,0.27743866962962793,0.14088548186000335,0.05752514378030678
AUDd,0.32284373629215685,0.15355899245684476,1.0029588874185456,0.11834548897886503,0.46993440779407525,0.47212147066013893,0.5433528267519788,0.6351910894087968,0.3452312799522183,0.11162890703334664,0.11688631048101371
AUDp,0.2426347364878362,0.10165125629093495,0.8883779570361016,0.07231380149912121,0.4140659154968176,0.3323874128664101,0.4246246302429031,0.7517075431057778,0.26062045179720017,0.1513607269431019,0.1271722051822287
AUDpo,0.24845566557178164,0.10048281054721442,1.0394596035775971,0.09440773048790659,0.3888494144305454,0.31847680336820333,0.5903282227793794,0.5315751121879766,0.4002663153913927,0.2024353649747706,0.11746423702276225
AUDv,0.269800084152422,0.16242780825615008,1.1005801819589598,0.12336479649497807,0.4863842302534654,0.4474021571259221,0.44921743803636976,0.5731270219219674,0.36941853110084555,0.16278112358232838,0.15214250001465618
RSPagl,0.2433166233885153,0.17770697930316431,0.9657660521482221,0.12943473901191174,0.36694504551762125,0.5519002271527849,0.6954995084039893,0.4662153237798558,0.43626236572297156,0.18663062031825675,0.14657494660432807
RSPd,0.29492792856035766,0.12486952852116595,1.018794225753863,0.09779119133037927,0.4163445717373058,0.48895023913366226,0.790371729758905,0.5028560473102208,0.4944992384705699,0.18839595647817578,0.15614414321611017
RSPv,0.19396394320963528,0.07102316194091855,0.9445603572529071,0.07467463244527181,0.2914315076574963,0.31862871539466214,0.6714218198859455,0.33245154050588066,0.60593970663503,0.1520700525306463,0.11352414047615467
ECT,0.31228880091682015,0.1837511116481495,1.0467634835145077,0.12810428596217976,0.5261608317504948,0.5169789788605227,0.5370823454519809,0.535732420669161,0.3783860248301646,0.15105609468652434,0.13826150651979197
PERI,0.3337483054606635,0.13796596184147952,1.3734090631873062,0.1295817997557813,0.6196183000288763,0.5702368950617713,0.562033058995262,0.5131694765856076,0.2137942374288361,0.15121838838204804,0.11950453154321687
TEa,0.28300648654685956,0.1861639839149334,1.0836241763828278,0.10960667386074785,0.5268493336859659,0.47819100585348046,0.631370268176747,0.515595899711316,0.40282990961661175,0.15511899720378639,0.15850439385270476
GU,0.3641521681708587,0.2949406744430464,1.173697857322983,0.12087565741049389,0.40445724991505955,0.5540637779544548,0.7443828952582965,0.82594114640105,0.5631099513626612,0.13465665496956333,0.26162903481708033
VISC,0.3363456938662891,0.21755387444231916,0.9262412622038543,0.11697874274371173,0.375779222862205,0.4959933653352841,0.4950314000993337,0.6573225725947944,0.396757223276105,0.17440998741879335,0.182078785844795
AId,0.42119861810355225,0.21456988685822992,1.1347131303016007,0.12116362948662769,0.34738272048794194,0.558317609422818,0.8872085241615209,0.7388485146486268,0.5534021258281782,0.1694665017057827,0.23303696043323535
AIp,0.29735595865182907,0.3087549187543459,1.127424175312057,0.11647585776137938,0.5466432420401105,0.5207668965477067,0.4019284802466362,0.6682550767232304,0.48592060405328524,0.16010890421410776,0.19524827249446128
AIv,0.3538927912635439,0.1951471818439639,1.3611420429649053,0.13542828308651841,0.5183056770452978,0.47386051047894834,0.8087753948393821,0.7097165395675994,0.5022517503625447,0.17739906760771507,0.12783329301633556
FRP,0.6627917439739149,0.09802969150096816,1.263763435367794,0.17017989344645196,0.15676262508065852,0.5048720388095738,1.0894751274504766,0.7553088724114142,0.7172782809404081,0.22322785901937167,0.34522964871942385
VISpl,0.13733680135867266,0.20308429785450371,1.0955311536448888,0.11490017359438508,0.6708017226388406,0.544780475299291,0.38218686145002934,0.4216918249079918,0.25998423420661865,0.09752172055919821,0.1352417246868823
VISpor,0.24583256455334773,0.18557810882571493,1.1460655176631793,0.11097923040532903,0.5539831974086019,0.4931525263751215,0.5129960889194163,0.5301667245758661,0.2977614405471595,0.14253212661592676,0.0815825775236968
