cell_label,subclass,supertype,class,neurotransmitter,parcellation_structure,parcellation_substructure
1018093344102010152-3,053 Sst Gaba,0228 Sst Gaba_15,07 CTX-MGE GABA,GABA,VISpl,VISpl1
1018093344102140115-3,053 Sst Gaba,0222 Sst Gaba_9,07 CTX-MGE GABA,GABA,VISpl,VISpl2/3
1018093344102300210-3,053 Sst Gaba,0223 Sst Gaba_10,07 CTX-MGE GABA,GABA,VISpl,VISpl2/3
1018093344102140267-4,053 Sst Gaba,0222 Sst Gaba_9,07 CTX-MGE GABA,GABA,VISpl,VISpl2/3
1018093344101980700,053 Sst Gaba,0221 Sst Gaba_8,07 CTX-MGE GABA,GABA,VISp,VISp2/3
1018093344102130615,053 Sst Gaba,0221 Sst Gaba_8,07 CTX-MGE GABA,GABA,VISp,VISp2/3
1018093344102130610-2,053 Sst Gaba,0221 Sst Gaba_8,07 CTX-MGE GABA,GABA,VISp,VISp2/3
1018093344102140582-3,053 Sst Gaba,0221 Sst Gaba_8,07 CTX-MGE GABA,GABA,VISp,VISp2/3
1018093344101980458-3,053 Sst Gaba,0223 Sst Gaba_10,07 CTX-MGE GABA,GABA,RSPagl,RSPagl2/3
1018093344102140251-3,053 Sst Gaba,0223 Sst Gaba_10,07 CTX-MGE GABA,GABA,VISpl,VISpl2/3
1018093344102290134-2,053 Sst Gaba,0223 Sst Gaba_10,07 CTX-MGE GABA,GABA,VISpl,VISpl2/3
1018093344102140710,053 Sst Gaba,0223 Sst Gaba_10,07 CTX-MGE GABA,GABA,VISpl,VISpl2/3
1018093344102290287-3,053 Sst Gaba,0223 Sst Gaba_10,07 CTX-MGE GABA,GABA,VISpl,VISpl2/3
1018093344101980413-2,053 Sst Gaba,0223 Sst Gaba_10,07 CTX-MGE GABA,GABA,RSPagl,RSPagl2/3
1018093344101990639-3,053 Sst Gaba,0221 Sst Gaba_8,07 CTX-MGE GABA,GABA,VISpl,VISpl2/3
1018093344102130456-1,053 Sst Gaba,0221 Sst Gaba_8,07 CTX-MGE GABA,GABA,VISp,VISp2/3
1018093344102130318-2,053 Sst Gaba,0220 Sst Gaba_7,07 CTX-MGE GABA,GABA,VISp,VISp2/3
1018093344102140191-4,053 Sst Gaba,0220 Sst Gaba_7,07 CTX-MGE GABA,GABA,VISpl,VISpl2/3
1018093344102140314-2,053 Sst Gaba,0220 Sst Gaba_7,07 CTX-MGE GABA,GABA,VISpl,VISpl2/3
