subclass,Scube1,Drd1,Drd2,Adora2a,Ppp1r1b,Chat,Sst,Pvalb,Gad1,Gad2,Slc17a7,Th
STR D1 Gaba,-2.589548513145806,1.45515582090593,-2.4648337718534385,-2.3286914619722268,0.4006132821659913,0.6741118278948237,-0.191003525654756,-1.259367971526188,0.3829129855225178,0.4653278602592573,-0.8365152262134781,-1.4196188928604678
STR D2 Gaba,-1.3580534485068945,-2.403348963812358,1.4169253460971165,1.3560992329414674,0.38088172205851334,0.5221431613673316,-0.2866457322844855,-1.1783833574309568,0.4788706840295181,0.4482058469877683,-1.3002530179680236,-0.25337820084492074
STR D1 Sema5a Gaba,-3.08576863275657,1.3803703813727688,-1.319873048211268,-1.76594376090537,0.287703284999922,-1.4438839283134717,-0.03635415453910927,-1.7465216559740548,0.5387702424392901,0.6257516819057011,-0.7844528710973405,1.2331384870843987
STR-PAL Chst9 Gaba,0.9931948608036482,0.2880201309628846,-2.3454200499157096,-1.7135011951023658,-0.558020308340288,-2.7741560951782103,-0.09803635104652371,-0.7711796336376309,0.6493545085811627,0.5063987379185384,-0.5749106139881124,-2.3039744156649795
STR Prox1 Lhx6 Gaba,-3.647603359066176,-2.4892241265933035,-2.5293263379247106,-2.262830330869627,-1.5065068857844393,-4.356890107212011,-0.2763214936925746,6.210469544286286,0.8749914123497785,0.63062839145857,-2.6604451323152367,3.0212551367431706
STR Lhx8 Gaba,0.22091366854702815,-2.3716650677746105,-1.2179823022239677,-1.8222599074445238,-1.51367123240873,-4.356890107212011,0.13535322219820434,3.097991713306795,0.659790414165447,0.6376040736347979,-3.70231602888396,6.966679437957286
PAL-STR Gaba-Chol,0.2624993608004403,-2.2086701382632667,1.379634990794855,-1.3928689068519025,-0.9843884705647812,5.43997451428943,1.0943843448660306,-3.0263387546775893,0.30707663460627,0.5186756034923019,-3.70231602888396,3.6454580465700803
Sst Chodl Gaba,-0.5671950593912811,0.9191493308075261,-1.1657112559747338,-2.1588961528554886,-1.6058156223325444,-4.356890107212011,5.413198056162292,-0.07860880834089719,0.2669210059316829,0.10682955811304286,-2.131735549717594,-2.3039744156649795
OB-STR-CTX Inh IMN,-0.3235660273421897,-2.647942126120947,-2.372396895487035,-2.07482463092208,-1.3715951916771176,-4.356890107212011,-0.531673299546739,-2.5207483816262286,0.06529980078219245,0.20139901331085577,-1.1574750800614837,-1.4286151511336338
OB-in Frmd7 Gaba,-0.6196770844060764,-4.0432343212195905,-2.7021870963735406,-2.626949804854474,-1.3226917672771992,-4.356890107212011,-1.506487055195013,0.2503571323228047,0.6368935306008345,-0.004369937423056479,-3.70231602888396,2.34525960851669
OB-out Frmd7 Gaba,0.14349013339361028,-2.6430972528181487,-2.7669304032195883,-2.8249035289041267,-1.0888292737077276,-4.356890107212011,-4.831861133451789,-3.0263387546775893,0.5614561914379623,-0.0550258146406682,-3.70231602888396,-2.3039744156649795
L6 CT CTX Glut,3.480913710510247,0.17139614111415546,-2.551314717125552,-2.384525501925345,-0.281645521351217,-4.356890107212011,0.680639564345509,-1.154991123576785,-2.2750986132630713,-2.242603368874636,6.236972684660514,-2.3039744156649795
L6 IT CTX Glut,3.1793283286829586,0.41163276669592586,-2.2429081101598864,-2.492493087745858,-1.3532874536872794,-2.28590658951796,0.4998686005064135,-3.0263387546775893,-3.077410520891018,-2.475319852928859,6.265446726986324,-2.3039744156649795
LA-BLA-BMA-PA Glut,3.495558241283478,-2.3404698370416446,-3.0305709541895007,-2.155814947753787,-1.1243035479079617,-4.356890107212011,1.0272678529031294,-0.1359774936599538,-2.4601163777427173,-1.7513617375782857,6.149866557324255,-2.3039744156649795
IT EP-CLA Glut,3.6613969929882426,0.6811674744556407,-1.9204511797260542,-3.1835099246919403,-1.4064105202457193,-4.356890107212011,-1.405907874909918,0.6824463901576843,-2.7716334791210295,-2.6882750370974877,6.2800604270675695,-2.3039744156649795
Astro-NT NN,0.6466918331335911,-2.0078180654361706,-2.549118451336538,-2.7746814992266318,-0.7706490861052617,-4.356890107212011,-1.015252248616508,-3.0263387546775893,-2.7421322243029698,-2.4010625632091736,-3.70231602888396,-2.3039744156649795
Astro-TE NN,2.0959139378700784,-2.8099942094102017,-2.5949251222962637,-1.738857667534036,-0.8640009399694515,-3.8253633320477194,-0.5183910859736289,-1.2429633215327272,-2.5091352502000586,-2.628235142990347,-1.2595424973606124,-1.4863972767330444
