subclass,Scube1,Drd1,Drd2,Adora2a,Ppp1r1b,Chat,Sst,Pvalb,Gad1,Gad2,Slc17a7,Th
STR D1 Gaba,0.006422569027611044,0.9981992797118847,0.11896758703481393,0.13667466986794718,0.9996398559423769,0.06422569027611044,0.04801920768307323,0.004861944777911164,0.9844537815126051,0.9987995198079231,0.01248499399759904,0.0016806722689075631
STR D2 Gaba,0.017035117702188653,0.10419538012018303,0.9934946799713325,0.9929433816638183,0.999338442030983,0.05507470092066817,0.04300126798610728,0.005182204090633442,0.9927228623408126,0.9960857820166492,0.008379734274215778,0.005678372567396218
STR D1 Sema5a Gaba,0.0038461538461538464,0.9948717948717949,0.2358974358974359,0.1935897435897436,0.9987179487179487,0.01282051282051282,0.05,0.002564102564102564,0.9987179487179487,1.0,0.011538461538461539,0.021794871794871794
STR-PAL Chst9 Gaba,0.08237986270022883,0.5606407322654462,0.11441647597254005,0.17848970251716248,0.7162471395881007,0.002288329519450801,0.04576659038901602,0.006864988558352402,0.9977116704805492,0.9954233409610984,0.013729977116704805,0.0
STR Prox1 Lhx6 Gaba,0.0027247956403269754,0.11444141689373297,0.11716621253405994,0.1553133514986376,0.49591280653950953,0.0,0.04632152588555858,0.7465940054495913,1.0,1.0,0.0027247956403269754,0.06267029972752043
STR Lhx8 Gaba,0.056179775280898875,0.11797752808988764,0.2752808988764045,0.19662921348314608,0.47752808988764045,0.0,0.056179775280898875,0.12359550561797752,1.0,1.0,0.0,0.8314606741573034
PAL-STR Gaba-Chol,0.06666666666666667,0.16666666666666666,1.0,0.3333333333333333,0.7666666666666667,1.0,0.16666666666666666,0.0,1.0,1.0,0.0,0.13333333333333333
Sst Chodl Gaba,0.030434782608695653,0.9173913043478261,0.2782608695652174,0.16521739130434782,0.44782608695652176,0.0,1.0,0.013043478260869565,0.9478260869565217,0.9391304347826087,0.004347826086956522,0.0
OB-STR-CTX Inh IMN,0.02984165651644336,0.0730816077953715,0.09866017052375152,0.1248477466504263,0.402557856272838,0.0,0.02679658952496955,0.0006090133982947625,0.7399512789281364,0.817904993909866,0.007308160779537149,0.001218026796589525
OB-in Frmd7 Gaba,0.025974025974025976,0.025974025974025976,0.07792207792207792,0.09090909090909091,0.4155844155844156,0.0,0.012987012987012988,0.012987012987012988,0.974025974025974,0.7662337662337663,0.0,0.03896103896103896
OB-out Frmd7 Gaba,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.43333333333333335,0.0,0.0,0.0,0.9666666666666667,0.7,0.0,0.0
L6 CT CTX Glut,0.4941860465116279,0.6569767441860465,0.12790697674418605,0.1511627906976744,0.936046511627907,0.0,0.09883720930232558,0.005813953488372093,0.2616279069767442,0.27325581395348836,1.0,0.0
L6 IT CTX Glut,0.4224137931034483,0.7327586206896551,0.14655172413793102,0.12931034482758622,0.5603448275862069,0.008620689655172414,0.07758620689655173,0.0,0.14655172413793102,0.23275862068965517,1.0,0.0
LA-BLA-BMA-PA Glut,0.5131578947368421,0.13157894736842105,0.09210526315789473,0.15789473684210525,0.631578947368421,0.0,0.11842105263157894,0.013157894736842105,0.2236842105263158,0.35526315789473684,1.0,0.0
IT EP-CLA Glut,0.5675675675675675,0.8918918918918919,0.1891891891891892,0.08108108108108109,0.5405405405405406,0.0,0.02702702702702703,0.02702702702702703,0.16216216216216217,0.21621621621621623,1.0,0.0
Astro-NT NN,0.05405405405405406,0.10810810810810811,0.08108108108108109,0.07207207207207207,0.5495495495495496,0.0,0.018018018018018018,0.0,0.11711711711711711,0.16216216216216217,0.0,0.0
Astro-TE NN,0.1555735056542811,0.0654281098546042,0.0827140549273021,0.15638126009693054,0.5533117932148627,0.0006462035541195477,0.028109854604200322,0.003554119547657512,0.14975767366720516,0.14846526655896608,0.006462035541195477,0.0011308562197092085
OPC NN,0.04658151765589782,0.067618332081142,0.08264462809917356,0.09917355371900827,0.377160030052592,0.0,0.03155522163786627,0.011269722013523666,0.5131480090157776,0.1585274229902329,0.0067618332081141996,0.0015026296018031556
Oligo NN,0.0038535645472061657,0.07074043490228461,0.10569777043765483,0.10872557115331682,0.4360033030553262,0.0005505092210294523,0.037159372419488024,0.00853289292595651,0.155794109551335,0.15744563721442334,0.007156619873382879,0.0011010184420589045
Microglia NN,0.02766798418972332,0.0764163372859025,0.0764163372859025,0.08124725516029864,0.35924462011418534,0.0,0.030742204655248132,0.003952569169960474,0.12560386473429952,0.13219148001756698,0.006148440931049627,0.0004391743522178305
Endo NN,0.0033130866924351186,0.07233572611816676,0.08779679734953065,0.10270568746548868,0.38100496963003866,0.0005521811154058532,0.02871341800110436,0.005521811154058531,0.14853672004417448,0.1518498067366096,0.006626173384870237,0.0005521811154058532
Peri NN,0.2302158273381295,0.06474820143884892,0.08453237410071943,0.5845323741007195,0.35251798561151076,0.0,0.023381294964028777,0.00539568345323741,0.12949640287769784,0.11870503597122302,0.007194244604316547,0.0
SMC NN,0.0035211267605633804,0.16549295774647887,0.07746478873239436,0.2992957746478873,0.3767605633802817,0.0,0.03169014084507042,0.0035211267605633804,0.15492957746478872,0.1619718309859155,0.0035211267605633804,0.0
VLMC NN,0.7297297297297297,0.02027027027027027,0.0945945945945946,0.44594594594594594,0.33783783783783783,0.0,0.05405405405405406,0.006756756756756757,0.08108108108108109,0.12837837837837837,0.006756756756756757,0.0
Ependymal NN,0.0,0.11864406779661017,0.11864406779661017,0.01694915254237288,0.5084745762711864,0.0,0.05084745762711865,0.15254237288135594,0.1694915254237288,0.05084745762711865,0.01694915254237288,0.0
BAM NN,0.00909090909090909,0.03636363636363636,0.05454545454545454,0.10909090909090909,0.2818181818181818,0.0,0.01818181818181818,0.00909090909090909,0.17272727272727273,0.15454545454545454,0.00909090909090909,0.0
