subclass,Scube1,Drd1,Drd2,Adora2a,Ppp1r1b,Chat,Sst,Pvalb,Gad1,Gad2,Slc17a7,Th
STR D1 Gaba,0.03240494229891957,8.769995131884755,0.6189069516386554,0.7059108271908764,9.63946911752701,0.31695086501200476,0.23948092496398557,0.02403385993397359,7.698318087070828,8.762790090732294,0.06289403705282112,0.00845939823529412
STR D2 Gaba,0.0895711287943106,0.5952971045978279,9.260695691361155,9.196434284243894,9.50839293165555,0.2842628003969348,0.22347811185842661,0.025998964220739842,8.228454989018138,8.65928935014058,0.042855844699266774,0.03142771402502895
STR D1 Sema5a Gaba,0.020063485897435895,8.326458922948719,1.3807655258974358,1.0474573705128205,8.913066396282051,0.06531859974358975,0.2677099530769231,0.014280819230769232,8.577709344230769,9.794605416923076,0.06557259474358974,0.1060852608974359
STR-PAL Chst9 Gaba,0.49807719130434785,3.899771922196796,0.6731774256292906,1.086603566361556,4.9550766212814645,0.019953695652173916,0.2560867528604119,0.037738694736842104,9.26185258832952,9.016124178489703,0.07738619679633868,0.0
STR Prox1 Lhx6 Gaba,0.010366210626702997,0.5603186801089918,0.5914121509536785,0.7393506814713897,2.5627823318801086,0.0,0.22515492452316077,6.023320025068119,10.831515483651227,9.82780378201635,0.010588959128065395,0.39091640653950954
STR Lhx8 Gaba,0.2874746039325843,0.6087374449438202,1.4825403735955056,1.0069743966292135,2.550037702808989,0.0,0.3028099191011236,0.6876011280898876,9.32916479494382,9.875486463483146,0.0,6.166534752808989
PAL-STR Gaba-Chol,0.29617409,0.6827439833333333,9.024139869999999,1.35952382,3.68467591,8.885085246666668,0.5981037066666667,0.0,7.30359002,9.0932613,0.0,0.6079561066666667
Sst Chodl Gaba,0.16226836347826087,6.045363848695652,1.5376089782608695,0.7953272817391305,2.3916412599999997,0.0,12.125847863043477,0.06715341130434783,7.10283218826087,6.832566008695652,0.019702420000000002,0.0
OB-STR-CTX Inh IMN,0.19396008038976859,0.5009033118148599,0.660521438002436,0.84365121272838,2.8149808705846526,0.0,0.1870087543239951,0.004197042021924483,6.175125726735688,7.296127356516443,0.04835438008526187,0.008344648538367845
OB-in Frmd7 Gaba,0.15611424025974024,0.18422892857142856,0.5235018441558441,0.5722027103896103,2.912381493506494,0.0,0.09023914285714285,0.08691338181818183,9.182113751948052,6.324970720779221,0.0,0.24093364675324674
OB-out Frmd7 Gaba,0.27193116666666667,0.5026219166666667,0.50008934,0.49755629,3.426659733333333,0.0,0.0,0.0,8.713815823333334,6.106397096666667,0.0,0.0
L6 CT CTX Glut,2.839756109883721,3.596152630232558,0.5823154168604652,0.6787335034883721,6.003441021511628,0.0,0.44648662906976744,0.026587418604651164,1.211288893604651,1.3326697726744186,9.808022845930232,0.0
L6 IT CTX Glut,2.302178972413793,4.249538368965517,0.7234874310344828,0.6290719086206897,2.8510581818965517,0.03201730172413793,0.3927268439655172,0.0,0.6903231094827585,1.1326535405172413,10.003723125,0.0
LA-BLA-BMA-PA Glut,2.8688307736842105,0.6222620276315789,0.41489589342105265,0.7970490802631579,3.3431865368421056,0.0,0.5704617052631579,0.06414560921052632,1.0642924184210525,1.8773292815789473,9.232777132894736,0.0
IT EP-CLA Glut,3.219524437837838,5.1245284729729725,0.9071954351351352,0.3858520810810811,2.747624018918919,0.0,0.0974767918918919,0.12075417837837837,0.8556583432432432,0.9758450756756756,10.105672054054054,0.0
Astro-NT NN,0.3895967009009009,0.7862239945945946,0.5832178063063064,0.5155360972972973,4.274679236036036,0.0,0.1309008963963964,0.0,0.8735421684684684,1.1930072405405405,0.0,0.0
Astro-TE NN,1.0811418619224555,0.44662131453957993,0.5646785622778675,1.0674983038126011,4.006211789951535,0.004454580856219709,0.18883089604200323,0.024423061987075927,1.028404017819063,1.017738156009693,0.044368594442649435,0.007624436591276252
OPC NN,0.30420296018031556,0.44233115296769343,0.5418968219383922,0.6544767328324568,2.5551052299774604,0.0,0.20437963861758074,0.06909396070623591,3.551273469797145,1.0411889379413974,0.04387667220135237,0.009456993163035313
Oligo NN,0.022241165042664466,0.4461199239196256,0.6629069427745665,0.6808244009083402,2.870679070575282,0.0032265184145334434,0.22841265650977152,0.05389115904211395,0.9764921107349299,0.9897522091109276,0.04415700803743463,0.006617449380677126
Microglia NN,0.21225913333333332,0.5743374261747913,0.5765944187966623,0.6101623578831796,2.8130666014053576,0.0,0.23231098770311814,0.030373122397891965,0.9587428546772068,1.0068091329380764,0.04669335094422486,0.003206687571365832
Endo NN,0.022647617062396465,0.5447193622860298,0.6552729764770845,0.7670439321369409,2.9531235829928217,0.004253502263942573,0.2111768903920486,0.04062665919381558,1.1330232101601325,1.147260127719492,0.04741817078961899,0.0046700248481501925
Peri NN,1.8759248735611511,0.5082552079136691,0.6700604627697841,4.877768575719425,2.8511975758992802,0.0,0.1835521879496403,0.04338613075539568,1.0202760037769785,0.9311003185251798,0.055847985611510796,0.0
SMC NN,0.027503451760563378,1.1960725947183097,0.5650068440140845,2.285725488028169,2.8725830373239436,0.0,0.22823916971830988,0.026400235915492957,1.1383103862676056,1.2371941144366199,0.027373428169014086,0.0
VLMC NN,5.883346362162162,0.1351844054054054,0.6663782567567568,3.2384161108108107,2.5032864256756757,0.0,0.38614912027027026,0.04486421621621621,0.6128510243243244,0.9375750054054055,0.048998130405405405,0.0
