cell_label,subclass,supertype,class,neurotransmitter,parcellation_structure,parcellation_substructure
1018093344102290355-5,334 Microglia NN,1194 Microglia NN_1,34 Immune,,PF,PF
1018093344101870077-5,334 Microglia NN,1194 Microglia NN_1,34 Immune,,PF,PF
1018093344201870080,334 Microglia NN,1194 Microglia NN_1,34 Immune,,PF,PF
1018093344102290362-4,334 Microglia NN,1194 Microglia NN_1,34 Immune,,PF,PF
1018093344101870230-5,334 Microglia NN,1194 Microglia NN_1,34 Immune,,PF,PF
1018093344102290370-4,334 Microglia NN,1194 Microglia NN_1,34 Immune,,PF,PF
1018093344101670556-7,334 Microglia NN,1194 Microglia NN_1,34 Immune,,PF,PF
1018093344101870104-4,334 Microglia NN,1194 Microglia NN_1,34 Immune,,PF,PF
1018093344102490020,334 Microglia NN,1194 Microglia NN_1,34 Immune,,PF,PF
1018093344102490210-3,334 Microglia NN,1194 Microglia NN_1,34 Immune,,PF,PF
1018093344102290574-4,334 Microglia NN,1194 Microglia NN_1,34 Immune,,PF,PF
1018093344102290500-6,334 Microglia NN,1194 Microglia NN_1,34 Immune,,PF,PF
1018093344101880077-2,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670488-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670339-3,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101870251-6,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670650-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670340-6,327 Oligo NN,1184 MOL NN_4,31 OPC-Oligo,,PF,PF
1018093344101670631-5,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102490019,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101880152-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102290296-6,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344102490079-4,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
1018093344101670666-3,318 Astro-NT NN,1160 Astro-NT NN_2,30 Astro-Epen,,PF,PF
