,"TH (n=28,555)","CLA (n=7,668)","LHb (n=1,043)"
Htr1b,0.3304354878841571,0.802593032670977,0.5189658276335939
Htr1d,0.13707900533276998,0.17057186774049227,0.1264353482348005
Htr2a,0.14545883103860832,2.4646519964868925,0.7938452897325073
Htr3a,0.05283272708324291,0.2589697879441164,0.10591237749911044
Htr7,0.8515964930453971,0.15331058609549736,0.4907424268456121
Adra1a,0.08442922443018744,0.2898904391943339,0.25558812558877025
Adra1b,1.2633083813455457,0.807995674739056,0.2549571977244272
Drd1,0.2169953977293413,2.057000312488111,0.2726592779721056
Drd2,0.44184261196062213,0.5928128559169082,0.4440609100318855
Drd3,0.28001027378962756,0.1253984183170892,0.08246901565921096
Drd5,0.40324734495238823,0.3600336009526949,0.3880213763270881
